shapeid,partid,x,y
"0","0",-84.4439014,33.6199799
"0","0",-84.4444028,33.6199799
"0","0",-84.4468465,33.6199799
"0","0",-84.4660538290615,33.6198926168223
"0","0",-84.4655959359427,33.6209915603075
"0","0",-84.4479965,33.6205789
"0","0",-84.4479905,33.6211381
"0","0",-84.4479894,33.6211584
"0","0",-84.4479865,33.6211786
"0","0",-84.4479816,33.6211984
"0","0",-84.447975,33.6212177
"0","0",-84.4479666,33.6212363
"0","0",-84.4479565,33.6212541
"0","0",-84.4479448,33.6212708
"0","0",-84.4479317,33.6212864
"0","0",-84.4479171,33.6213007
"0","0",-84.4479013,33.6213136
"0","0",-84.4476038,33.6215337
"0","0",-84.4475752,33.6215462
"0","0",-84.4475457,33.6215566
"0","0",-84.4475155,33.6215648
"0","0",-84.4474848,33.6215706
"0","0",-84.4474537,33.6215741
"0","0",-84.4474224,33.6215753
"0","0",-84.4465485,33.6215753
"0","0",-84.4464617,33.6215753
"0","0",-84.4450935,33.6215753
"0","0",-84.4450107,33.6215745
"0","0",-84.4449279,33.6215748
"0","0",-84.444845,33.6215762
"0","0",-84.4447622,33.6215787
"0","0",-84.4446795,33.6215824
"0","0",-84.4445968,33.6215872
"0","0",-84.4445081,33.621593
"0","0",-84.4444193,33.6215988
"0","0",-84.4443306,33.6216047
"0","0",-84.4442418,33.6216107
"0","0",-84.4441531,33.6216168
"0","0",-84.4440644,33.6216229
"0","0",-84.4440162,33.6216274
"0","0",-84.4439683,33.6216344
"0","0",-84.4439208,33.6216436
"0","0",-84.4438738,33.6216552
"0","0",-84.4438275,33.6216692
"0","0",-84.4437818,33.6216853
"0","0",-84.4436488,33.6217363
"0","0",-84.4435023,33.6217924
"0","0",-84.4431734,33.62192
"0","0",-84.4424374,33.6222415
"0","0",-84.4423694,33.6222623
"0","0",-84.4423004,33.6222794
"0","0",-84.4422305,33.6222927
"0","0",-84.44216,33.6223023
"0","0",-84.4420892,33.622308
"0","0",-84.4420181,33.62231
"0","0",-84.439713,33.62231
"0","0",-84.4387879,33.62231
"0","0",-84.4366851,33.62231
"0","0",-84.4357006,33.6223189
"0","0",-84.4355519,33.6223278
"0","0",-84.4345915,33.6224302
"0","0",-84.4345307,33.6224451
"0","0",-84.4344821,33.6224658
"0","0",-84.4344609,33.6224797
"0","0",-84.4344242,33.6225117
"0","0",-84.4343927,33.6225507
"0","0",-84.4343684,33.6225947
"0","0",-84.4343522,33.6226422
"0","0",-84.4342194,33.6234937
"0","0",-84.4342164,33.623577
"0","0",-84.4342194,33.6246656
"0","0",-84.4342194,33.6248675
"0","0",-84.4342194,33.6249763
"0","0",-84.4342194,33.6265931
"0","0",-84.4342194,33.62706
"0","0",-84.4342224,33.6291658
"0","0",-84.4342283,33.6294156
"0","0",-84.4343469,33.6301754
"0","0",-84.4343532,33.6302157
"0","0",-84.4343562,33.6302319
"0","0",-84.4343605,33.6302478
"0","0",-84.434366,33.6302633
"0","0",-84.4343728,33.6302783
"0","0",-84.4343808,33.6302927
"0","0",-84.4343899,33.6303064
"0","0",-84.4344001,33.6303193
"0","0",-84.4344113,33.6303314
"0","0",-84.4344235,33.6303425
"0","0",-84.4344365,33.6303525
"0","0",-84.4344612,33.6303686
"0","0",-84.4344872,33.6303825
"0","0",-84.4345143,33.6303942
"0","0",-84.4345423,33.6304035
"0","0",-84.434571,33.6304105
"0","0",-84.4346001,33.630415
"0","0",-84.4352098,33.6304834
"0","0",-84.4355132,33.6305131
"0","0",-84.4357958,33.6305161
"0","0",-84.4363892,33.6305218
"0","0",-84.4373579,33.6305173
"0","0",-84.4381759,33.6305136
"0","0",-84.4383025,33.630513
"0","0",-84.4385452,33.6305128
"0","0",-84.4407081,33.6305106
"0","0",-84.4436539,33.630513
"0","0",-84.4467829,33.6305106
"0","0",-84.4471683,33.6305106
"0","0",-84.4472635,33.630513
"0","0",-84.4473706,33.6305249
"0","0",-84.4474729,33.6305535
"0","0",-84.4475681,33.6305891
"0","0",-84.4476799,33.6306439
"0","0",-84.4477608,33.630701
"0","0",-84.4478465,33.6307747
"0","0",-84.4479369,33.6308771
"0","0",-84.4479988,33.6309746
"0","0",-84.4480464,33.6310936
"0","0",-84.4480702,33.6312007
"0","0",-84.4480821,33.6313339
"0","0",-84.4480963,33.6314838
"0","0",-84.4661454076853,33.6314315234166
"0","0",-84.4659622504378,33.6323473096542
"0","0",-84.4480725,33.6321548
"0","0",-84.448073,33.6322721
"0","0",-84.4480775,33.6329273
"0","0",-84.4480781,33.6330192
"0","0",-84.4480805,33.6335998
"0","0",-84.4480828,33.6343755
"0","0",-84.4659622504378,33.6341788821295
"0","0",-84.465870671814,33.6354609828622
"0","0",-84.4480828,33.6350536
"0","0",-84.4480833,33.635195
"0","0",-84.4480833,33.6356637
"0","0",-84.4480833,33.6358208
"0","0",-84.4480786,33.6358969
"0","0",-84.4480714,33.6359588
"0","0",-84.4480595,33.6360159
"0","0",-84.4480357,33.6361016
"0","0",-84.4480119,33.6361682
"0","0",-84.447962,33.6362705
"0","0",-84.4478882,33.6363847
"0","0",-84.4477978,33.6364894
"0","0",-84.447705,33.6365679
"0","0",-84.4476122,33.6366369
"0","0",-84.4475241,33.636694
"0","0",-84.4474242,33.636744
"0","0",-84.4473243,33.6367845
"0","0",-84.4472267,33.6368154
"0","0",-84.4471101,33.6368416
"0","0",-84.4470007,33.6368582
"0","0",-84.4469031,33.6368677
"0","0",-84.4468008,33.6368701
"0","0",-84.4466533,33.6368701
"0","0",-84.4446069,33.6368701
"0","0",-84.4425868,33.6368725
"0","0",-84.4420823,33.6368725
"0","0",-84.4418991,33.6368725
"0","0",-84.4418134,33.6368749
"0","0",-84.4417611,33.636882
"0","0",-84.4416992,33.6369011
"0","0",-84.4416445,33.6369249
"0","0",-84.4416017,33.6369558
"0","0",-84.441566,33.6369891
"0","0",-84.4415374,33.6370224
"0","0",-84.4415208,33.637051
"0","0",-84.4225503016938,33.6372613351053
"0","0",-84.4223894560562,33.6440972747044
"0","0",-84.4414849,33.6440515
"0","0",-84.4414708,33.6441911
"0","0",-84.4414683,33.6442157
"0","0",-84.4414492,33.6444203
"0","0",-84.4414445,33.6444822
"0","0",-84.4414373,33.6445274
"0","0",-84.4414326,33.6445893
"0","0",-84.4414373,33.644713
"0","0",-84.4414587,33.6448843
"0","0",-84.4414802,33.6450414
"0","0",-84.4414992,33.6452222
"0","0",-84.4415135,33.6453388
"0","0",-84.4415254,33.6453816
"0","0",-84.4415468,33.6454173
"0","0",-84.4415682,33.6454411
"0","0",-84.4416039,33.6454625
"0","0",-84.4416491,33.6454792
"0","0",-84.4417038,33.645484
"0","0",-84.4417943,33.6454911
"0","0",-84.441866,33.6454961
"0","0",-84.442328,33.645536
"0","0",-84.4426635,33.6455621
"0","0",-84.442773,33.6455859
"0","0",-84.4428967,33.6456335
"0","0",-84.4429942,33.6456882
"0","0",-84.4430751,33.6457549
"0","0",-84.4431513,33.6458334
"0","0",-84.443275,33.646
"0","0",-84.4435058,33.6463355
"0","0",-84.4435582,33.6464473
"0","0",-84.4435843,33.6465639
"0","0",-84.4571707025564,33.6463588390901
"0","0",-84.4566212308138,33.6472746253277
"0","0",-84.4435225,33.6472278
"0","0",-84.4434725,33.6473182
"0","0",-84.4432726,33.647549
"0","0",-84.4431545,33.6476801
"0","0",-84.4431288,33.6477086
"0","0",-84.4430347,33.6478131
"0","0",-84.4429657,33.6478655
"0","0",-84.44288,33.6479202
"0","0",-84.4428015,33.647963
"0","0",-84.4427087,33.6480011
"0","0",-84.4426111,33.6480249
"0","0",-84.442516,33.6480368
"0","0",-84.4424267,33.6480381
"0","0",-84.4423589,33.6480392
"0","0",-84.4420367,33.6480401
"0","0",-84.4415689,33.6480415
"0","0",-84.4407718,33.6480415
"0","0",-84.4406719,33.6480415
"0","0",-84.4405339,33.6480415
"0","0",-84.4405006,33.6480439
"0","0",-84.4404577,33.6480463
"0","0",-84.4404006,33.6480511
"0","0",-84.4401246,33.6480796
"0","0",-84.4399747,33.6480963
"0","0",-84.4399105,33.648101
"0","0",-84.43982,33.6481058
"0","0",-84.4397106,33.6481105
"0","0",-84.4395988,33.6481201
"0","0",-84.4395131,33.648132
"0","0",-84.4394227,33.6481605
"0","0",-84.4393489,33.6481938
"0","0",-84.4392537,33.6482509
"0","0",-84.4391681,33.6483104
"0","0",-84.4391157,33.6483747
"0","0",-84.4391014,33.6484104
"0","0",-84.4390967,33.6484389
"0","0",-84.4390919,33.6484746
"0","0",-84.4390967,33.648515
"0","0",-84.4391062,33.6485745
"0","0",-84.4391166,33.6486538
"0","0",-84.4391252,33.6487197
"0","0",-84.4391331,33.6488041
"0","0",-84.4391348,33.648822
"0","0",-84.4391371,33.6489862
"0","0",-84.439138,33.6490123
"0","0",-84.4391388,33.6491263
"0","0",-84.4391395,33.6492408
"0","0",-84.4575370170515,33.649106197803
"0","0",-84.4571707025564,33.6501135626644
"0","0",-84.439149,33.6498475
"0","0",-84.4391477,33.649988
"0","0",-84.4391473,33.6500379
"0","0",-84.4391467,33.6501069
"0","0",-84.4391395,33.6501712
"0","0",-84.4391348,33.6502473
"0","0",-84.4391229,33.6503258
"0","0",-84.4390991,33.6504043
"0","0",-84.4390705,33.65049
"0","0",-84.4390324,33.6505804
"0","0",-84.4389872,33.6506661
"0","0",-84.4389301,33.6507589
"0","0",-84.438854,33.6508612
"0","0",-84.4387564,33.6509611
"0","0",-84.4386541,33.6510516
"0","0",-84.4385423,33.6511372
"0","0",-84.4384162,33.6512134
"0","0",-84.4382948,33.6512681
"0","0",-84.4381568,33.6513204
"0","0",-84.4379736,33.6513752
"0","0",-84.4378451,33.6514013
"0","0",-84.4377356,33.6514156
"0","0",-84.4376286,33.6514251
"0","0",-84.4375976,33.6514251
"0","0",-84.4375383,33.6514247
"0","0",-84.4373697,33.6514234
"0","0",-84.4372693,33.6514227
"0","0",-84.4362366,33.6514227
"0","0",-84.4347708,33.6514275
"0","0",-84.4346066,33.6514275
"0","0",-84.4344996,33.6514204
"0","0",-84.4343711,33.6514037
"0","0",-84.4342354,33.6513728
"0","0",-84.4340736,33.6513204
"0","0",-84.4339499,33.6512633
"0","0",-84.4338452,33.6512062
"0","0",-84.4337239,33.6511277
"0","0",-84.4336192,33.6510611
"0","0",-84.4335816,33.6510412
"0","0",-84.4335383,33.6510182
"0","0",-84.4334574,33.6509825
"0","0",-84.4333788,33.650954
"0","0",-84.4333003,33.6509326
"0","0",-84.4332147,33.6509112
"0","0",-84.4331195,33.6508969
"0","0",-84.4330386,33.6508874
"0","0",-84.4329267,33.6508802
"0","0",-84.4328125,33.6508755
"0","0",-84.4327221,33.6508779
"0","0",-84.4326412,33.6508779
"0","0",-84.4325555,33.6508802
"0","0",-84.4324937,33.6508921
"0","0",-84.432439,33.6509088
"0","0",-84.432389,33.6509397
"0","0",-84.4323343,33.6509849
"0","0",-84.4322962,33.6510254
"0","0",-84.4322676,33.651073
"0","0",-84.4322557,33.6511229
"0","0",-84.4322492,33.6511878
"0","0",-84.4322486,33.6511943
"0","0",-84.4322438,33.6512586
"0","0",-84.432251,33.6513276
"0","0",-84.4322653,33.651368
"0","0",-84.4323652,33.6515132
"0","0",-84.432406,33.6515749
"0","0",-84.4324147,33.6515922
"0","0",-84.4324246,33.6516088
"0","0",-84.4208405,33.6515541
"0","0",-84.4211538,33.6515515
"0","0",-84.421508,33.6515486
"0","0",-84.4215092,33.6514875
"0","0",-84.4215806,33.6514856
"0","0",-84.4215829,33.6514185
"0","0",-84.4216301,33.6514089
"0","0",-84.4217333,33.6513212
"0","0",-84.421771,33.6512806
"0","0",-84.4217868,33.6512614
"0","0",-84.4218273,33.6511878
"0","0",-84.4218364,33.6511616
"0","0",-84.4218513,33.6510813
"0","0",-84.4218513,33.6510129
"0","0",-84.4218364,33.6509623
"0","0",-84.4218096,33.6509207
"0","0",-84.4217769,33.650885
"0","0",-84.4217234,33.6508642
"0","0",-84.421652,33.6508493
"0","0",-84.4215182,33.6508434
"0","0",-84.4209501,33.6508493
"0","0",-84.4202303,33.6508434
"0","0",-84.4200786,33.6508434
"0","0",-84.4199299,33.6508523
"0","0",-84.4195819,33.6508701
"0","0",-84.4194778,33.6508731
"0","0",-84.4193737,33.6508909
"0","0",-84.4192844,33.6509266
"0","0",-84.4192253,33.6509748
"0","0",-84.4191807,33.6510164
"0","0",-84.4191513,33.6510673
"0","0",-84.4191419,33.6510893
"0","0",-84.419142,33.651166
"0","0",-84.419158,33.6512374
"0","0",-84.4191782,33.651281
"0","0",-84.4191996,33.6513323
"0","0",-84.41926,33.6513345
"0","0",-84.419327,33.6513345
"0","0",-84.4201712,33.6513376
"0","0",-84.4132278,33.6515923
"0","0",-84.4130776,33.6514918
"0","0",-84.4129435,33.6514337
"0","0",-84.4128255,33.6514069
"0","0",-84.4127209,33.6513891
"0","0",-84.4124526,33.6513891
"0","0",-84.411302,33.6513935
"0","0",-84.4105241,33.6514159
"0","0",-84.4103686,33.651427
"0","0",-84.4102318,33.651427
