shapeid,partid,x,y
"0","0",-76.6609351604857,39.1813280055047
"0","0",-76.6650942,39.1857906
"0","0",-76.6647517,39.1859725
"0","0",-76.6646899,39.1860061
"0","0",-76.6646305,39.186044
"0","0",-76.664574,39.186086
"0","0",-76.6645337,39.1861169
"0","0",-76.6644967,39.1861518
"0","0",-76.6644636,39.1861904
"0","0",-76.6644445,39.1862169
"0","0",-76.6644151,39.186267
"0","0",-76.6643918,39.1863202
"0","0",-76.6643815,39.186351
"0","0",-76.6643112,39.1865567
"0","0",-76.6642194,39.1868102
"0","0",-76.6641912,39.1868714
"0","0",-76.6641581,39.18693
"0","0",-76.6641203,39.1869857
"0","0",-76.664078,39.1870381
"0","0",-76.6640627,39.187055
"0","0",-76.6640216,39.1870961
"0","0",-76.6639777,39.1871341
"0","0",-76.6639312,39.1871689
"0","0",-76.6753790703136,39.1994098896729
"0","0",-76.6744240586352,39.2000176243773
"0","0",-76.6631375569811,39.1877761110448
"0","0",-76.6623016,39.1880784
"0","0",-76.6619883,39.1877075
"0","0",-76.6620208,39.1876475
"0","0",-76.6621144,39.1874754
"0","0",-76.6621272,39.1874518
"0","0",-76.6621303,39.18744
"0","0",-76.6621317,39.1874279
"0","0",-76.6621313,39.1874157
"0","0",-76.662129,39.1874037
"0","0",-76.6621251,39.1873922
"0","0",-76.6621197,39.1873818
"0","0",-76.662113,39.1873723
"0","0",-76.662105,39.1873638
"0","0",-76.6620958,39.1873566
"0","0",-76.6620857,39.1873507
"0","0",-76.661685,39.1869127
"0","0",-76.6613958,39.1865895
"0","0",-76.6613792,39.1865774
"0","0",-76.6613611,39.1865679
"0","0",-76.6613418,39.1865612
"0","0",-76.6613217,39.1865574
"0","0",-76.6613012,39.1865566
"0","0",-76.661279,39.1865591
"0","0",-76.6612574,39.1865653
"0","0",-76.6605155,39.186944
"0","0",-76.6603607,39.1870416
"0","0",-76.6602298,39.1868809
"0","0",-76.6602433,39.1868827
"0","0",-76.6602569,39.1868822
"0","0",-76.6602701,39.1868793
"0","0",-76.6602827,39.1868742
"0","0",-76.6602942,39.186867
"0","0",-76.6603043,39.1868579
"0","0",-76.6603127,39.1868472
"0","0",-76.6603191,39.1868353
"0","0",-76.6603234,39.1868224
"0","0",-76.6603254,39.186809
"0","0",-76.6603251,39.1867954
"0","0",-76.6603224,39.1867821
"0","0",-76.6603174,39.1867694
"0","0",-76.6593374,39.1856973
"0","0",-76.6590907,39.1854652
"0","0",-76.6590814,39.1854571
"0","0",-76.6590709,39.1854507
"0","0",-76.6590594,39.1854463
"0","0",-76.6590473,39.1854439
"0","0",-76.659035,39.1854436
"0","0",-76.6574007,39.1836552
"0","0",-76.6580687,39.18327
"0","0",-76.6581145,39.1832436
"0","0",-76.658128,39.1832357
"0","0",-76.6581401,39.1832256
"0","0",-76.6581505,39.1832138
"0","0",-76.6581588,39.1832005
"0","0",-76.6581649,39.1831861
"0","0",-76.6581685,39.1831708
"0","0",-76.6581698,39.1831552
"0","0",-76.6581685,39.1831396
"0","0",-76.6581647,39.1831243
"0","0",-76.6581585,39.1831099
"0","0",-76.6581501,39.1830966
"0","0",-76.6581397,39.1830849
"0","0",-76.6566407,39.1814609
"0","0",-76.6545513,39.1792016
"0","0",-76.6544711,39.1791148
"0","0",-76.6535711,39.1781572
"0","0",-76.6527038,39.1771814
"0","0",-76.6526459,39.1771729
"0","0",-76.652619,39.1771613
"0","0",-76.6525913,39.1771518
"0","0",-76.6523755,39.1769138
"0","0",-76.6523742,39.1767965
"0","0",-76.6523734,39.1767296
"0","0",-76.649445489898,39.1732290110397
"0","0",-76.6334099252698,39.1721641493261
"0","0",-76.6332686020802,39.1708666646201
"0","0",-76.6477163129722,39.1714948259633
"0","0",-76.6417409022055,39.1645535200201
"0","0",-76.6422420136002,39.1639271307769
"0","0",-76.6495081288223,39.1716317184693
"0","0",-76.6512793,39.1722476
"0","0",-76.6525714,39.1723154
"0","0",-76.6525737,39.1722344
"0","0",-76.6525826,39.1721539
"0","0",-76.652598,39.1720744
"0","0",-76.6526199,39.1719963
"0","0",-76.6526481,39.1719204
"0","0",-76.6526824,39.1718469
"0","0",-76.6527226,39.1717766
"0","0",-76.6527684,39.1717097
"0","0",-76.6528195,39.1716468
"0","0",-76.6528838,39.1715953
"0","0",-76.6529515,39.1715485
"0","0",-76.6530225,39.1715068
"0","0",-76.6530967,39.1714691
"0","0",-76.6531735,39.171437
"0","0",-76.6532525,39.1714108
"0","0",-76.6533332,39.1713907
"0","0",-76.6534152,39.1713766
"0","0",-76.6534981,39.1713688
"0","0",-76.6535813,39.1713672
"0","0",-76.6536646,39.171372
"0","0",-76.6537473,39.1713829
"0","0",-76.653829,39.1714001
"0","0",-76.6539091,39.1714234
"0","0",-76.6539872,39.1714527
"0","0",-76.6540629,39.1714878
"0","0",-76.6541357,39.1715285
"0","0",-76.6542053,39.1715745
"0","0",-76.6542712,39.1716257
"0","0",-76.654333,39.1716817
"0","0",-76.6543905,39.1717422
"0","0",-76.6544432,39.1718069
"0","0",-76.6545893,39.1719968
"0","0",-76.654739,39.1721839
"0","0",-76.6547918,39.1722572
"0","0",-76.6548499,39.1723264
"0","0",-76.654913,39.1723911
"0","0",-76.6549806,39.1724511
"0","0",-76.6553877,39.1724682
"0","0",-76.6575248,39.1725843
"0","0",-76.6576325,39.1725893
"0","0",-76.660953,39.1728095
"0","0",-76.6610195,39.1728139
"0","0",-76.6623398,39.172883
"0","0",-76.66366,39.1729522
"0","0",-76.6655168,39.1730674
"0","0",-76.6655649,39.1730729
"0","0",-76.6656132,39.1730723
"0","0",-76.6656611,39.1730657
"0","0",-76.6657077,39.1730532
"0","0",-76.6657525,39.173035
"0","0",-76.6657946,39.1730113
"0","0",-76.6658335,39.1729826
"0","0",-76.6658976,39.1730103
"0","0",-76.6667209,39.1720394
"0","0",-76.6667467,39.1720118
"0","0",-76.666768,39.1719806
"0","0",-76.6667781,39.1719539
"0","0",-76.6667837,39.171926
"0","0",-76.6667846,39.1718975
"0","0",-76.6667808,39.1718692
"0","0",-76.6667724,39.171842
"0","0",-76.6666692,39.1716828
"0","0",-76.6666159,39.1716092
"0","0",-76.6665602,39.1715375
"0","0",-76.6661216,39.1711078
"0","0",-76.6654552,39.1704792
"0","0",-76.6654081,39.1704298
"0","0",-76.6650476,39.1700301
"0","0",-76.6642516,39.169152
"0","0",-76.6630774,39.1678957
"0","0",-76.6623243,39.1671247
"0","0",-76.6622539,39.1670643
"0","0",-76.6621803,39.1670077
"0","0",-76.6621037,39.1669553
"0","0",-76.6620245,39.166907
"0","0",-76.6619831,39.1668858
"0","0",-76.6619399,39.1668685
"0","0",-76.6618952,39.1668553
"0","0",-76.6618496,39.1668463
"0","0",-76.6616479,39.166819
"0","0",-76.6614455,39.1667971
"0","0",-76.6612426,39.1667807
"0","0",-76.6610394,39.1667697
"0","0",-76.6608359,39.1667642
"0","0",-76.6602577,39.1661325
"0","0",-76.6597509,39.1655614
"0","0",-76.6612143,39.1647548
"0","0",-76.6620102,39.1643194
"0","0",-76.6507224051616,39.1524406789432
"0","0",-76.6512433206226,39.1515724865083
"0","0",-76.6636235,39.1649939
"0","0",-76.6653866,39.1668856
"0","0",-76.6669749,39.168606
"0","0",-76.6683556,39.1701024
"0","0",-76.6707476,39.1672831
"0","0",-76.6708168,39.1671958
"0","0",-76.6711552,39.1667716
"0","0",-76.6711923,39.1667864
"0","0",-76.671231,39.1667957
"0","0",-76.6712707,39.1667994
"0","0",-76.6713111,39.1667973
"0","0",-76.6714316,39.1668821
"0","0",-76.6715279,39.1669342
"0","0",-76.6715178,39.1669612
"0","0",-76.6720735,39.1672368
"0","0",-76.6721195,39.1672564
"0","0",-76.6721677,39.1672822
"0","0",-76.6722133,39.1673126
"0","0",-76.6722558,39.1673471
"0","0",-76.6722949,39.1673854
"0","0",-76.6723291,39.1674259
"0","0",-76.6723594,39.1674693
"0","0",-76.6723856,39.1675154
"0","0",-76.6724107,39.1675711
"0","0",-76.672426,39.1676156
"0","0",-76.6724328,39.1676761
"0","0",-76.6724333,39.1677206
"0","0",-76.6724302,39.1677649
"0","0",-76.6724237,39.1678082
"0","0",-76.6724138,39.1678509
"0","0",-76.6722746,39.1685801
"0","0",-76.672265,39.1686307
"0","0",-76.672255,39.1686896
"0","0",-76.6722395,39.1687474
"0","0",-76.6722187,39.1688034
"0","0",-76.6721928,39.1688572
"0","0",-76.672162,39.1689084
"0","0",-76.6721266,39.1689565
"0","0",-76.6720868,39.1690011
"0","0",-76.6711481,39.1701111
"0","0",-76.6706818,39.1706683
"0","0",-76.6698846,39.1716209
"0","0",-76.6698612,39.1716521
"0","0",-76.6698428,39.1716864
"0","0",-76.6698297,39.1717231
"0","0",-76.6698222,39.1717613
"0","0",-76.6698204,39.1718003
"0","0",-76.6698246,39.171839
"0","0",-76.6698344,39.1718767
"0","0",-76.6698498,39.1719126
"0","0",-76.6698703,39.1719457
"0","0",-76.6704913,39.172631
"0","0",-76.6705727,39.1725858
"0","0",-76.6706198,39.1725596
"0","0",-76.670991,39.1729665
"0","0",-76.6713944,39.1733912
"0","0",-76.6734966,39.1735233
"0","0",-76.6755777,39.1736464
"0","0",-76.6756186,39.1736488
"0","0",-76.675731,39.1736566
"0","0",-76.6758436,39.1736594
"0","0",-76.6759562,39.1736572
"0","0",-76.6760687,39.1736499
"0","0",-76.6761806,39.1736375
"0","0",-76.676237,39.1736298
"0","0",-76.6762923,39.1736161
"0","0",-76.6763458,39.1735966
"0","0",-76.6763969,39.1735715
"0","0",-76.676445,39.1735411
"0","0",-76.6764896,39.1735057
"0","0",-76.6765301,39.1734658
"0","0",-76.6765662,39.1734217
"0","0",-76.6765973,39.1733741
"0","0",-76.6766232,39.1733234
"0","0",-76.6766946,39.1729629
"0","0",-76.6768004,39.172134
"0","0",-76.6768052,39.1720956
"0","0",-76.6767416,39.1720894
"0","0",-76.6766946,39.1720849
"0","0",-76.6767416,39.1715383
"0","0",-76.6768055,39.1715407
"0","0",-76.6768664,39.1709103
"0","0",-76.6787083,39.1709855
"0","0",-76.6786938,39.1711387
"0","0",-76.6786227,39.1716471
"0","0",-76.6788732,39.1716676
"0","0",-76.6810952,39.171804
"0","0",-76.6826787,39.1718732
"0","0",-76.6826963,39.171874
"0","0",-76.6845858,39.1719893
"0","0",-76.6863487,39.1720929
"0","0",-76.6879038,39.1721798
"0","0",-76.6878931,39.1722461
"0","0",-76.6878268,39.1728731
"0","0",-76.6862015,39.1727722
"0","0",-76.6861719,39.1727703
"0","0",-76.68462,39.1726911
"0","0",-76.6835155,39.172627
"0","0",-76.6834594,39.1726238
"0","0",-76.6832984,39.1726183
"0","0",-76.6831373,39.1726183
"0","0",-76.6829764,39.172624
"0","0",-76.6829419,39.172626
"0","0",-76.6825159,39.1726502
"0","0",-76.6824511,39.1726538
"0","0",-76.6824274,39.17266
"0","0",-76.6824047,39.172669
"0","0",-76.682373,39.1726871
"0","0",-76.6823449,39.1727104
"0","0",-76.6823212,39.1727382
"0","0",-76.6823028,39.1727697
"0","0",-76.68229,39.1728039
"0","0",-76.6822873,39.172815
"0","0",-76.682231,39.173043
"0","0",-76.6821911,39.1732135
"0","0",-76.6821571,39.1733853
"0","0",-76.6821292,39.1735582
"0","0",-76.6821073,39.1737319
"0","0",-76.6820916,39.1739064
"0","0",-76.682099,39.1739292
"0","0",-76.6821098,39.1739506
"0","0",-76.6821238,39.1739701
"0","0",-76.6821406,39.1739872
"0","0",-76.6821599,39.1740014
"0","0",-76.6821811,39.1740126
"0","0",-76.6822038,39.1740203
"0","0",-76.6822274,39.1740245
"0","0",-76.6835659,39.1741097
"0","0",-76.6836327,39.174114
