shapeid,partid,x,y
"0","0",-104.658279,39.8320419
"0","0",-104.6601825,39.8320481
"0","0",-104.660199,39.829392
"0","0",-104.660206,39.828225
"0","0",-104.655574913507,39.8126054012422
"0","0",-104.664725987648,39.8133093300223
"0","0",-104.6609185,39.8282142
"0","0",-104.6612941,39.8282018
"0","0",-104.6617393,39.828173
"0","0",-104.662037,39.8281524
"0","0",-104.6621953,39.828138
"0","0",-104.6622704,39.828105
"0","0",-104.6623187,39.8280515
"0","0",-104.6623455,39.8279938
"0","0",-104.6623482,39.8278413
"0","0",-104.6623562,39.82745
"0","0",-104.6623535,39.8273037
"0","0",-104.6623669,39.8272275
"0","0",-104.6624045,39.8271142
"0","0",-104.6624608,39.8270174
"0","0",-104.6625171,39.8269432
"0","0",-104.6626325,39.8268382
"0","0",-104.662772,39.8267537
"0","0",-104.6629087,39.8266878
"0","0",-104.6630455,39.8266549
"0","0",-104.6633299,39.8266322
"0","0",-104.6633272,39.8265848
"0","0",-104.6640697,39.8265965
"0","0",-104.6642445,39.8265992
"0","0",-104.664848,39.8266013
"0","0",-104.6650036,39.8266075
"0","0",-104.6651806,39.8266507
"0","0",-104.6653522,39.826729
"0","0",-104.6654864,39.8268155
"0","0",-104.6656124,39.8269268
"0","0",-104.6656982,39.827073
"0","0",-104.6657304,39.8271884
"0","0",-104.6657358,39.8272728
"0","0",-104.6657358,39.8276148
"0","0",-104.6656822,39.8276292
"0","0",-104.6656741,39.8280226
"0","0",-104.6657063,39.8280885
"0","0",-104.665768,39.82814
"0","0",-104.6658484,39.828173
"0","0",-104.6660147,39.8281833
"0","0",-104.6665217,39.8282348
"0","0",-104.6668033,39.8282574
"0","0",-104.6689142,39.8282739
"0","0",-104.6710037,39.8282863
"0","0",-104.6711954,39.8296777
"0","0",-104.6709674,39.8296509
"0","0",-104.6699992,39.8295726
"0","0",-104.6695861,39.8295685
"0","0",-104.6678427,39.8295541
"0","0",-104.6662092,39.8295459
"0","0",-104.665308,39.8295356
"0","0",-104.6650478,39.8295603
"0","0",-104.6644363,39.8295994
"0","0",-104.6642861,39.8296303
"0","0",-104.6642244,39.8296859
"0","0",-104.6642002,39.8297436
"0","0",-104.6641064,39.8303409
"0","0",-104.6640849,39.830479
"0","0",-104.6640795,39.8306602
"0","0",-104.6640715,39.8316221
"0","0",-104.6640581,39.8327282
"0","0",-104.6634519,39.8327241
"0","0",-104.663417,39.8326438
"0","0",-104.6633446,39.832584
"0","0",-104.6632534,39.8325531
"0","0",-104.6631408,39.8325614
"0","0",-104.6630442,39.8326149
"0","0",-104.6629986,39.8326788
"0","0",-104.662894,39.8334017
"0","0",-104.6628886,39.8338343
"0","0",-104.6628591,39.8355561
"0","0",-104.6628538,39.8367466
"0","0",-104.6628323,39.8385261
"0","0",-104.6628323,39.8390389
"0","0",-104.6628538,39.8392963
"0","0",-104.6629181,39.8397679
"0","0",-104.6629423,39.8398318
"0","0",-104.6630093,39.8398874
"0","0",-104.6630898,39.8399183
"0","0",-104.6631837,39.8399183
"0","0",-104.6632776,39.8398853
"0","0",-104.6633366,39.8398256
"0","0",-104.6633607,39.8397371
"0","0",-104.6634278,39.8392984
"0","0",-104.6634653,39.8390677
"0","0",-104.6634707,39.8388782
"0","0",-104.6634814,39.8379947
"0","0",-104.6644282,39.838005
"0","0",-104.6644255,39.8376446
"0","0",-104.6645148,39.8376447
"0","0",-104.6656915,39.8376466
"0","0",-104.6656862,39.8384766
"0","0",-104.6656915,39.838732
"0","0",-104.6656352,39.838732
"0","0",-104.6656298,39.8389009
"0","0",-104.665536,39.8389009
"0","0",-104.6655494,39.8391913
"0","0",-104.665654,39.8392592
"0","0",-104.6656728,39.8400892
"0","0",-104.6645784,39.8401036
"0","0",-104.6644875,39.8401067
"0","0",-104.664396,39.8401098
"0","0",-104.6643987,39.8400357
"0","0",-104.6641359,39.8400357
"0","0",-104.6640769,39.840048
"0","0",-104.6640152,39.8400872
"0","0",-104.6639857,39.8401325
"0","0",-104.6639696,39.8404682
"0","0",-104.6631113,39.8404682
"0","0",-104.663004,39.8405032
"0","0",-104.6629396,39.8405526
"0","0",-104.6629074,39.840635
