shapeid,partid,x,y
"0","0",-95.2839941,29.6355982
"0","0",-95.2839941,29.6353005
"0","0",-95.2846432,29.6353099
"0","0",-95.2846509,29.6355733
"0","0",-95.2846592,29.6358545
"0","0",-95.2848819,29.6358584
"0","0",-95.2850722,29.6355573
"0","0",-95.285177,29.6353915
"0","0",-95.2852225,29.6353658
"0","0",-95.2852762,29.6353658
"0","0",-95.2855283,29.6354637
"0","0",-95.2856278,29.6355363
"0","0",-95.2857617,29.6356339
"0","0",-95.285805,29.635678
"0","0",-95.2858716,29.6357458
"0","0",-95.2860272,29.6360442
"0","0",-95.2859875,29.636094
"0","0",-95.2854613,29.636753
"0","0",-95.2854505,29.6369628
"0","0",-95.2854747,29.6378673
"0","0",-95.2854901,29.6384708
"0","0",-95.2963449497034,29.6277007531018
"0","0",-95.297613662619,29.6288335324907
"0","0",-95.2856215,29.6392518
"0","0",-95.2864128,29.6399255
"0","0",-95.2865361,29.6400311
"0","0",-95.2866637,29.6401405
"0","0",-95.2867883,29.6402473
"0","0",-95.2868323,29.6403071
"0","0",-95.2868688,29.6403568
"0","0",-95.286909,29.6404501
"0","0",-95.2869278,29.6405293
"0","0",-95.2869251,29.6406249
"0","0",-95.2869251,29.6407182
"0","0",-95.2869385,29.6407671
"0","0",-95.2869841,29.6408021
"0","0",-95.286683,29.6411124
"0","0",-95.2866294,29.6411194
"0","0",-95.2865596,29.641187
"0","0",-95.2863441,29.641387
"0","0",-95.2858864,29.6418118
"0","0",-95.2857523,29.6419284
"0","0",-95.2857121,29.6419727
"0","0",-95.2856691,29.6421452
"0","0",-95.2856745,29.6422151
"0","0",-95.2856745,29.6422664
"0","0",-95.2857335,29.6500499
"0","0",-95.2857464,29.6505509
"0","0",-95.2857469,29.6507259
"0","0",-95.2857523,29.6508238
"0","0",-95.2986558196568,29.6609591559608
"0","0",-95.2974324179168,29.6619560018231
"0","0",-95.2857684,29.6513157
"0","0",-95.2857818,29.6518681
"0","0",-95.2857496,29.6520173
"0","0",-95.2856665,29.6521501
"0","0",-95.2855954,29.6522189
"0","0",-95.2855283,29.652269
"0","0",-95.285366,29.6523389
"0","0",-95.2852413,29.6523553
"0","0",-95.2849986,29.6523576
"0","0",-95.2843495,29.6523739
"0","0",-95.2841966,29.6523949
"0","0",-95.2840652,29.6524508
"0","0",-95.2839928,29.6525021
"0","0",-95.2967074391078,29.6625903582809
"0","0",-95.29566528207,29.6634059594409
"0","0",-95.2841054,29.6530079
"0","0",-95.283754,29.6527212
"0","0",-95.28351,29.6529287
"0","0",-95.2834241,29.6529706
"0","0",-95.2830298,29.6530918
"0","0",-95.2808071791229,29.6536842829974
"0","0",-95.2787204273204,29.6519646020958
"0","0",-95.2746240394509,29.6519152480251
"0","0",-95.2744935,29.6525812
"0","0",-95.2745433,29.6525968
"0","0",-95.2734724,29.6534776
"0","0",-95.2723968,29.6543447
"0","0",-95.2722573,29.6545032
"0","0",-95.2722359,29.6545685
"0","0",-95.2717589,29.654925
"0","0",-95.271427,29.654925
"0","0",-95.2712761,29.6549478
"0","0",-95.2711366,29.6549921
"0","0",-95.2710105,29.655083
