shapeid,partid,x,y
"0","0",-122.127952,37.6634063
"0","0",-122.1163883,37.6586479
"0","0",-122.115732267309,37.657650158505
"0","0",-122.11459398726,37.6570810184802
"0","0",-122.1137893,37.6566391
"0","0",-122.113530603608,37.656484259531
"0","0",-122.101481893453,37.6514239859621
"0","0",-122.101837667687,37.6504011350378
"0","0",-122.1140347,37.6561741
"0","0",-122.1140924,37.6560828
"0","0",-122.1141152,37.656036
"0","0",-122.1141205,37.6559755
"0","0",-122.1141125,37.655932
"0","0",-122.114083,37.6558832
"0","0",-122.1139553,37.6558173
"0","0",-122.1133876,37.6555608
"0","0",-122.1131467,37.655452
"0","0",-122.1128007,37.6552956
"0","0",-122.1125828,37.6553459
"0","0",-122.1123439,37.6552499
"0","0",-122.1122941,37.655087
"0","0",-122.1122139,37.6550449
"0","0",-122.1121248,37.6549818
"0","0",-122.1120846,37.6549245
"0","0",-122.112039,37.6548438
"0","0",-122.1119719,37.6546527
"0","0",-122.1119156,37.6544849
"0","0",-122.1119048,37.6544021
"0","0",-122.1119129,37.6543341
"0","0",-122.1119585,37.6542535
"0","0",-122.1120035,37.6541779
"0","0",-122.111807275095,37.6540318304942
"0","0",-122.096100808155,37.6471102233681
"0","0",-122.09641211061,37.6460429006644
"0","0",-122.112322782301,37.6537189853321
"0","0",-122.1123957,37.6536631
"0","0",-122.1124735,37.6536015
"0","0",-122.1125459,37.6535654
"0","0",-122.1126666,37.6535357
"0","0",-122.1131534,37.65355
"0","0",-122.1133743,37.6535592
"0","0",-122.1134912,37.6535812
"0","0",-122.1142947,37.6539402
"0","0",-122.1143591,37.6539625
"0","0",-122.114402,37.6539562
"0","0",-122.1146729,37.6538956
"0","0",-122.1147212,37.6538925
"0","0",-122.1149961,37.6540315
"0","0",-122.1150175,37.6540687
"0","0",-122.1150779,37.6542598
"0","0",-122.1151007,37.6543012
"0","0",-122.1151356,37.6543214
"0","0",-122.1151785,37.6543384
"0","0",-122.1152442,37.6543618
"0","0",-122.1155728,37.6545178
"0","0",-122.1156067,37.6545383
"0","0",-122.1159822,37.6546657
"0","0",-122.1170551,37.6548313
"0","0",-122.1171359,37.6548412
"0","0",-122.1171866,37.6548436
"0","0",-122.1172313,37.6548341
"0","0",-122.1172804,37.6548059
"0","0",-122.1172929,37.654733
"0","0",-122.1174539,37.6547596
"0","0",-122.1174539,37.6548063
"0","0",-122.1174816,37.6548506
"0","0",-122.1175174,37.6548789
"0","0",-122.1175754,37.6549035
"0","0",-122.1185249,37.6550479
"0","0",-122.1192306,37.6551452
"0","0",-122.1193065,37.6550513
"0","0",-122.1193112,37.6550455
"0","0",-122.1194387,37.654888
"0","0",-122.1195204,37.6549118
"0","0",-122.1195659,37.6549251
"0","0",-122.1197811,37.6550003
"0","0",-122.1197941,37.6550048
"0","0",-122.1197163,37.6551046
"0","0",-122.1196734,37.6551588
"0","0",-122.1196358,37.6552044
"0","0",-122.1195929,37.6552607
"0","0",-122.120361,37.6555905
"0","0",-122.1204955,37.6556482
"0","0",-122.1205652,37.6556886
"0","0",-122.1206403,37.6557342
"0","0",-122.1206645,37.6557608
"0","0",-122.1207355,37.6557608
"0","0",-122.1208871,37.6557587
"0","0",-122.1210145,37.6557608
"0","0",-122.121135,37.6557601
"0","0",-122.1212289,37.655775
"0","0",-122.1215092,37.6558079
"0","0",-122.1217774,37.6558503
"0","0",-122.1225364,37.6559629
"0","0",-122.1227323,37.6559947
"0","0",-122.1228127,37.6560308
"0","0",-122.1228959,37.656086
"0","0",-122.1229388,37.6561455
"0","0",-122.122971,37.6561986
"0","0",-122.1229897,37.6562814
"0","0",-122.1229951,37.6564109
"0","0",-122.1229978,37.6567295
"0","0",-122.1229991,37.6569609
"0","0",-122.1230018,37.657049
"0","0",-122.1229669,37.6571181
"0","0",-122.1229147,37.6571909
"0","0",-122.1229112,37.6572219
"0","0",-122.1229361,37.6572615
"0","0",-122.1229897,37.6572731
"0","0",-122.1235248,37.6577901
"0","0",-122.1235678,37.6578294
"0","0",-122.1236134,37.6578602
"0","0",-122.1237067,37.6579181
"0","0",-122.1238297,37.6579721
"0","0",-122.1240707,37.6580863
"0","0",-122.1241042,37.6581044
"0","0",-122.1241377,37.6581033
"0","0",-122.1241605,37.6580885
"0","0",-122.124992,37.6584887
"0","0",-122.1250255,37.6585153
"0","0",-122.1254452,37.658711
"0","0",-122.1262185,37.6590669
"0","0",-122.126376,37.6591374
"0","0",-122.1311919,37.6613224
"0","0",-122.1315629,37.6617351
"0","0",-122.130906264604,37.6619105695742
"0","0",-122.146665221242,37.6689903387935
"0","0",-122.145909200993,37.6699242461592
"0","0",-122.1301338,37.6624012
"0","0",-122.1294789,37.6627064
"0","0",-122.129151958305,37.6627877227237
"0","0",-122.144841878289,37.6698353026006
"0","0",-122.1441748016,37.6706802664076
"0","0",-122.128505634932,37.6632032163208
"0","0",-122.127952,37.6634063
