shapeid,partid,x,y
"0","0",-95.3364439,29.9604685
"0","0",-95.3365229,29.960433
"0","0",-95.3366764,29.9603699
"0","0",-95.3369031,29.960256
"0","0",-95.3374921,29.959958
"0","0",-95.3378247,29.9597488
"0","0",-95.3378515,29.9590935
"0","0",-95.3390532,29.9585358
"0","0",-95.3395789,29.9588426
"0","0",-95.3396755,29.9587914
"0","0",-95.3299937012474,29.9462844943864
"0","0",-95.3329781311801,29.944429308212
"0","0",-95.3403045,29.958516
"0","0",-95.3412014,29.9599766
"0","0",-95.3452032,29.9665371
"0","0",-95.3452994,29.9666456
"0","0",-95.3454425,29.9666662
"0","0",-95.3455855,29.9666404
"0","0",-95.3457107,29.966563
"0","0",-95.3458061,29.9663977
"0","0",-95.3458001,29.9662738
"0","0",-95.3457703,29.9661602
"0","0",-95.3455319,29.9656955
"0","0",-95.3442921,29.9636764
"0","0",-95.3451862,29.9632478
"0","0",-95.3459789,29.9636713
"0","0",-95.3462293,29.9636506
"0","0",-95.3369304843341,29.9506401488826
"0","0",-95.3399149142667,29.949268924319
"0","0",-95.3468432,29.9633744
"0","0",-95.3473558,29.9631342
"0","0",-95.347472,29.9631084
"0","0",-95.3476419,29.9631058
"0","0",-95.3477671,29.9631317
"0","0",-95.347925,29.9631962
"0","0",-95.3479906,29.9632401
"0","0",-95.3481157,29.9633744
"0","0",-95.348235,29.9635603
"0","0",-95.3489621,29.9647634
"0","0",-95.3497608,29.9660673
"0","0",-95.3507324,29.9676525
"0","0",-95.3511466,29.9683315
"0","0",-95.3512092,29.9684193
"0","0",-95.3512688,29.9684528
"0","0",-95.3513195,29.9684528
"0","0",-95.3515132,29.9683754
"0","0",-95.3515337,29.9684053
"0","0",-95.351608,29.9683719
"0","0",-95.3517521,29.9683073
"0","0",-95.3518008,29.968267
"0","0",-95.3518217,29.9682321
"0","0",-95.3518306,29.968174
"0","0",-95.3518202,29.9681211
"0","0",-95.351777,29.9680398
"0","0",-95.3515385,29.9676435
"0","0",-95.3510811,29.9669089
"0","0",-95.3514775,29.9667282
"0","0",-95.3515609,29.9668625
"0","0",-95.3515818,29.9668573
"0","0",-95.3516414,29.9669425
"0","0",-95.3517874,29.9668728
"0","0",-95.351841,29.9669632
"0","0",-95.3518053,29.9669786
"0","0",-95.3519454,29.9672084
"0","0",-95.352448,29.9680223
"0","0",-95.3526283,29.9679504
"0","0",-95.3529817,29.9686162
"0","0",-95.3526715,29.9687592
"0","0",-95.3527051,29.9688846
"0","0",-95.3523863,29.9690354
"0","0",-95.3520422,29.9684851
"0","0",-95.3520124,29.9684619
"0","0",-95.3519617,29.9684283
"0","0",-95.3518902,29.9684154
"0","0",-95.3518276,29.9684283
"0","0",-95.3517323,29.9684722
"0","0",-95.3516805,29.9684908
"0","0",-95.3516101,29.9685161
"0","0",-95.3516429,29.9685755
"0","0",-95.3515564,29.9686039
"0","0",-95.3514819,29.9686349
"0","0",-95.3514283,29.968671
"0","0",-95.3514134,29.9687097
"0","0",-95.3514193,29.9687769
"0","0",-95.3515147,29.9689473
"0","0",-95.3521167,29.9699051
"0","0",-95.3524773,29.9705092
"0","0",-95.3525548,29.9705944
"0","0",-95.3526204,29.9706228
"0","0",-95.3527157,29.9706228
"0","0",-95.3528022,29.9705892
"0","0",-95.3528439,29.9705686
"0","0",-95.3528677,29.970597
"0","0",-95.3529444,29.9705635
"0","0",-95.3532283,29.9704395
"0","0",-95.3532492,29.9704008
"0","0",-95.3532522,29.9703569
"0","0",-95.3532343,29.9701762
"0","0",-95.3531598,29.9700342
"0","0",-95.352984,29.9700032
"0","0",-95.3529184,29.9699102
"0","0",-95.3534936,29.969634
"0","0",-95.3535383,29.9697089
"0","0",-95.354182,29.9694197
"0","0",-95.3544502,29.9698612
"0","0",-95.3544979,29.9698328
"0","0",-95.3545158,29.9697863
"0","0",-95.3545039,29.9696908
"0","0",-95.3544353,29.9695101
"0","0",-95.3542714,29.9692829
"0","0",-95.3547244,29.9690712
"0","0",-95.3548794,29.9693345
"0","0",-95.3548496,29.9693939
"0","0",-95.3546529,29.9694946
"0","0",-95.3546141,29.969523
"0","0",-95.3545963,29.9695643
"0","0",-95.3546141,29.9696598
"0","0",-95.3546797,29.969807
"0","0",-95.3547393,29.9699025
"0","0",-95.354708,29.9699257
"0","0",-95.3547036,29.969958
"0","0",-95.3547259,29.9699916
"0","0",-95.3548764,29.9700806
"0","0",-95.3552251,29.9702575
"0","0",-95.3553294,29.9702807
"0","0",-95.3554158,29.970273
"0","0",-95.3554754,29.9702472
"0","0",-95.3556572,29.9705389
"0","0",-95.3551774,29.9707454
"0","0",-95.3551297,29.9706602
"0","0",-95.3551923,29.9706448
"0","0",-95.3551715,29.9706138
"0","0",-95.3551864,29.9705983
"0","0",-95.3550254,29.9703246
"0","0",-95.3549301,29.9702627
"0","0",-95.3547512,29.9701594
"0","0",-95.3546559,29.9701052
"0","0",-95.3545545,29.9700677
"0","0",-95.3544622,29.9700548
"0","0",-95.3543668,29.9700652
"0","0",-95.3542208,29.9701245
"0","0",-95.3538035,29.9703078
"0","0",-95.3536784,29.970375
"0","0",-95.353656,29.9704072
"0","0",-95.3536575,29.9704382
"0","0",-95.3536709,29.9704653
"0","0",-95.3537111,29.970486
"0","0",-95.3540256,29.9705673
"0","0",-95.3541343,29.970588
"0","0",-95.3542073,29.9705892
"0","0",-95.3542655,29.9705789
"0","0",-95.3543191,29.9705621
"0","0",-95.3544443,29.9705002
"0","0",-95.3546901,29.9708823
"0","0",-95.3547289,29.9708745
"0","0",-95.3547557,29.9708771
"0","0",-95.3547855,29.9709029
"0","0",-95.3548123,29.9709494
"0","0",-95.3545456,29.9710669
"0","0",-95.3540807,29.9712953
"0","0",-95.354036,29.971205
"0","0",-95.3537856,29.9713134
"0","0",-95.3537231,29.9712101
"0","0",-95.3539645,29.9710966
"0","0",-95.3537946,29.9708048
"0","0",-95.3538557,29.9707687
"0","0",-95.353884,29.9707519
"0","0",-95.3538929,29.9707287
"0","0",-95.3538929,29.9706964
"0","0",-95.353875,29.970677
"0","0",-95.3538169,29.9706551
"0","0",-95.3534504,29.970566
"0","0",-95.3533997,29.9705531
"0","0",-95.3533192,29.9705531
