shapeid,partid,x,y
"0","0",-81.3293123,28.4108127
"0","0",-81.3299449,28.4110013
"0","0",-81.3293979,28.4113636
"0","0",-81.3293645,28.4113997
"0","0",-81.3293364,28.4114449
"0","0",-81.3293191,28.4114849
"0","0",-81.3293048,28.4115763
"0","0",-81.3293109,28.4119783
"0","0",-81.3293256,28.413389
"0","0",-81.3293336,28.4145859
"0","0",-81.3292936,28.4145947
"0","0",-81.3292994,28.4147451
"0","0",-81.3293378,28.4147833
"0","0",-81.3293701,28.4147906
"0","0",-81.3294189,28.4147734
"0","0",-81.3294622,28.41474
"0","0",-81.3295105,28.4147006
"0","0",-81.3296046,28.4146236
"0","0",-81.3297463,28.4145077
"0","0",-81.3297565,28.4144994
"0","0",-81.3302115,28.4141101
"0","0",-81.3302915,28.4140389
"0","0",-81.3303504,28.4139952
"0","0",-81.3304127,28.4139566
"0","0",-81.330478,28.4139233
"0","0",-81.3305467,28.4138964
"0","0",-81.3305705,28.4138871
"0","0",-81.3306225,28.4138756
"0","0",-81.3307276,28.4138596
"0","0",-81.3308245,28.4138531
"0","0",-81.3310699,28.4138515
"0","0",-81.3314728,28.413845
"0","0",-81.3313549,28.4142639
"0","0",-81.3308029,28.4143004
"0","0",-81.3307393,28.4143169
"0","0",-81.3306842,28.4143384
"0","0",-81.3306294,28.4143676
"0","0",-81.3305627,28.4144184
"0","0",-81.3304996,28.4144688
"0","0",-81.3300398,28.4148222
"0","0",-81.3297013,28.4151372
"0","0",-81.3296289,28.4152068
"0","0",-81.3295628,28.4152704
"0","0",-81.3294536,28.4153696
"0","0",-81.3294135,28.41541
"0","0",-81.3293838,28.4154418
"0","0",-81.3293663,28.4154781
"0","0",-81.3293595,28.4154971
"0","0",-81.3293449,28.4155726
"0","0",-81.3293315,28.4158493
"0","0",-81.3293219,28.4160934
"0","0",-81.3293122,28.4163283
"0","0",-81.3293141,28.416452
"0","0",-81.3293177,28.4166807
"0","0",-81.3293216,28.4170228
"0","0",-81.3293245,28.4172989
"0","0",-81.3293292,28.4177459
"0","0",-81.3293334,28.4182987
"0","0",-81.3293603,28.4182968
"0","0",-81.3293793,28.4182964
"0","0",-81.3293799,28.4184874
"0","0",-81.3293771,28.4185256
"0","0",-81.3293836,28.4185537
"0","0",-81.3294031,28.4185867
"0","0",-81.3294251,28.4186064
"0","0",-81.3294518,28.4186197
"0","0",-81.3294904,28.4186255
"0","0",-81.32951,28.4186232
"0","0",-81.3296239,28.4186248
"0","0",-81.3297964,28.4186273
"0","0",-81.3298358,28.4186099
"0","0",-81.3298862,28.4185714
"0","0",-81.3299123,28.4185395
"0","0",-81.329923,28.4185219
"0","0",-81.3299185,28.418429
"0","0",-81.3299086,28.418221
"0","0",-81.3301328,28.4182181
"0","0",-81.3301391,28.4185286
"0","0",-81.3301027,28.4185427
"0","0",-81.3300852,28.4185574
"0","0",-81.3300853,28.418598
"0","0",-81.3301124,28.4186289
"0","0",-81.3306056,28.4186255
"0","0",-81.3311954,28.4186228
"0","0",-81.3314723,28.4186369
"0","0",-81.3316348,28.4186519
"0","0",-81.3317907,28.418666
"0","0",-81.332121,28.4186757
"0","0",-81.3334948,28.4186685
"0","0",-81.3334951,28.4187664
"0","0",-81.3334654,28.4187641
"0","0",-81.3334589,28.4187694
"0","0",-81.3334549,28.4187786
"0","0",-81.3334556,28.4187869
"0","0",-81.3334607,28.4187952
"0","0",-81.3334677,28.4187995
"0","0",-81.333479,28.4187999
"0","0",-81.3335033,28.4187974
"0","0",-81.3335053,28.4189643
"0","0",-81.3335088,28.4192474
"0","0",-81.3335106,28.4193969
"0","0",-81.3332188,28.4193976
"0","0",-81.3331913,28.4192496
"0","0",-81.3331886,28.419088
"0","0",-81.3331847,28.4188651
"0","0",-81.3331388,28.4188652
"0","0",-81.3331417,28.4189201
"0","0",-81.3328094,28.4189209
"0","0",-81.332809,28.4188015
"0","0",-81.3332125,28.4187989
"0","0",-81.3332183,28.4187906
"0","0",-81.3332202,28.4187785
"0","0",-81.3332157,28.4187669
"0","0",-81.3332079,28.41876
"0","0",-81.3330204,28.4187612
"0","0",-81.3323665,28.4187661
"0","0",-81.3320044,28.4187674
"0","0",-81.3318505,28.4187631
"0","0",-81.3316635,28.4187525
"0","0",-81.3315009,28.4187401
"0","0",-81.3313715,28.4187341
"0","0",-81.3312937,28.4187321
"0","0",-81.3312065,28.4187314
"0","0",-81.3311046,28.4187316
"0","0",-81.3308431,28.4187323
"0","0",-81.3302517,28.4187337
"0","0",-81.3294374,28.4187333
"0","0",-81.3294279,28.4187427
"0","0",-81.3294148,28.418759
"0","0",-81.3294044,28.4187754
"0","0",-81.3293936,28.4187999
"0","0",-81.3293871,28.418825
"0","0",-81.3293847,28.4188508
"0","0",-81.3293865,28.4188767
"0","0",-81.3293871,28.4190582
"0","0",-81.3293736,28.4190592
"0","0",-81.3293381,28.419061
"0","0",-81.3293423,28.4193063
"0","0",-81.3293574,28.4197094
"0","0",-81.3298614,28.4197041
"0","0",-81.3315995,28.4196907
"0","0",-81.3316532,28.41969
"0","0",-81.3316575,28.4200718
"0","0",-81.3318814,28.4398368
"0","0",-81.3318194,28.4398378
"0","0",-81.3312897,28.4398472
"0","0",-81.3299033,28.4398714
"0","0",-81.3298045,28.4398729
"0","0",-81.3294148,28.439879
"0","0",-81.3293541,28.4399992
"0","0",-81.3290369,28.4407068
"0","0",-81.3289992,28.4407944
"0","0",-81.3289746,28.4409262
"0","0",-81.3288848,28.4415537
"0","0",-81.3288592,28.4417795
"0","0",-81.3288509,28.4420023
"0","0",-81.3288599,28.4424993
"0","0",-81.3288768,28.4438092
"0","0",-81.3288839,28.445137
"0","0",-81.3288889,28.4451797
"0","0",-81.3289095,28.4452091
"0","0",-81.3289696,28.4452298
"0","0",-81.3290949,28.4452375
"0","0",-81.3294728,28.4452833
"0","0",-81.3294764,28.4452405
"0","0",-81.3295728,28.4452405
"0","0",-81.3296196,28.445195
"0","0",-81.3296727,28.4452181
"0","0",-81.3297369,28.4452298
"0","0",-81.3298594,28.4452423
"0","0",-81.33029,28.4455464
"0","0",-81.3302071,28.4455395
"0","0",-81.3301275,28.4455362
"0","0",-81.3300369,28.445543
"0","0",-81.3299734,28.4455497
"0","0",-81.3298849,28.4455604
"0","0",-81.3297691,28.4455724
"0","0",-81.3297176,28.4455788
"0","0",-81.3296513,28.4456045
"0","0",-81.3296245,28.4455912
"0","0",-81.3295849,28.4455775
"0","0",-81.3295399,28.4455687
"0","0",-81.3295037,28.4455677
"0","0",-81.3294772,28.4455703
"0","0",-81.32948,28.4455367
"0","0",-81.3292293,28.4455658
"0","0",-81.3290962,28.4455829
"0","0",-81.3290197,28.4455894
"0","0",-81.3289927,28.4455957
"0","0",-81.3289696,28.4456109
"0","0",-81.3289562,28.4456273
"0","0",-81.3289498,28.4456404
"0","0",-81.328945,28.4456705
"0","0",-81.3289511,28.4461051
"0","0",-81.3289561,28.4467244
"0","0",-81.328954,28.446829
"0","0",-81.3289608,28.4472963
"0","0",-81.3289635,28.4474737
"0","0",-81.3289652,28.4478283
"0","0",-81.328963,28.447887
"0","0",-81.3289502,28.4479586
"0","0",-81.3289299,28.4480221
"0","0",-81.3289115,28.4480634
"0","0",-81.3288864,28.4481075
"0","0",-81.3288609,28.4481444
"0","0",-81.3288373,28.4481733
"0","0",-81.3287876,28.4482239
"0","0",-81.3287322,28.4482672
"0","0",-81.3286663,28.4483057
"0","0",-81.3285997,28.4483371
"0","0",-81.328518,28.448367
"0","0",-81.3284577,28.4483846
"0","0",-81.3283809,28.448391
"0","0",-81.3282507,28.4483948
"0","0",-81.3279419,28.4484021
"0","0",-81.3276658,28.4483981
"0","0",-81.3274455,28.4483948
"0","0",-81.3274487,28.4484284
"0","0",-81.3274487,28.4489082
"0","0",-81.327451,28.4492973
"0","0",-81.3274542,28.4498138
"0","0",-81.3274581,28.4504482
"0","0",-81.3274598,28.4507335
"0","0",-81.3274463,28.4507499
"0","0",-81.32743,28.4507636
"0","0",-81.3286464898893,28.4629464640476
"0","0",-81.3258070615259,28.4628653375229
"0","0",-81.3233732657857,28.4629464640476
"0","0",-81.3168249561506,28.4627691387729
"0","0",-81.3186532,28.4480611
"0","0",-81.3186925,28.4480433
"0","0",-81.3187283,28.4480191
