shapeid,partid,x,y
"0","0",-80.2747870302015,25.7898226152801
"0","0",-80.2747098,25.7889906
"0","0",-80.2748171,25.7889718
"0","0",-80.2749214,25.7889369
"0","0",-80.2749661,25.7889128
"0","0",-80.2749869,25.7888913
"0","0",-80.2749929,25.7888591
"0","0",-80.2749929,25.7888054
"0","0",-80.2749989,25.7887571
"0","0",-80.2750287,25.7887008
"0","0",-80.2751181,25.7885532
"0","0",-80.2752581,25.788309
"0","0",-80.275276,25.7882768
"0","0",-80.2752939,25.7882473
"0","0",-80.2753058,25.7882204
"0","0",-80.2752999,25.7880836
"0","0",-80.2586126118446,25.7894245046387
"0","0",-80.2578476958894,25.7869906811449
"0","0",-80.2751806,25.787402
"0","0",-80.2751687,25.7872115
"0","0",-80.2755562,25.7869726
"0","0",-80.2763936,25.7864359
"0","0",-80.262019964736,25.7799673619198
"0","0",-80.2634802588323,25.7779507653106
"0","0",-80.2790216,25.7869918
"0","0",-80.2792779,25.7871287
"0","0",-80.2793792,25.787177
"0","0",-80.2794388,25.7871985
"0","0",-80.2794835,25.7872092
"0","0",-80.2795282,25.7872119
"0","0",-80.2796146,25.7872119
"0","0",-80.2797488,25.7872065
"0","0",-80.2810541,25.7871582
"0","0",-80.2833191,25.7870643
"0","0",-80.2855662,25.786965
"0","0",-80.2894256,25.7868067
"0","0",-80.2919349,25.7867047
"0","0",-80.2946261,25.7865893
"0","0",-80.2991888,25.7864042
"0","0",-80.3020558,25.7862807
"0","0",-80.3088358,25.7860097
"0","0",-80.3126863,25.7858487
"0","0",-80.3148319,25.7857539
"0","0",-80.3313491654034,25.7840700929523
"0","0",-80.3312923611025,25.7876251857451
"0","0",-80.315533,25.7878884
"0","0",-80.3155509,25.7879286
"0","0",-80.3155539,25.7879715
"0","0",-80.3155524,25.7880225
"0","0",-80.3155375,25.7880695
"0","0",-80.3155166,25.7881097
"0","0",-80.3154898,25.7881379
"0","0",-80.3154585,25.788158
"0","0",-80.3154227,25.7881768
"0","0",-80.3153884,25.7881889
"0","0",-80.3153497,25.7881983
"0","0",-80.3152901,25.788209
"0","0",-80.3151977,25.7882157
"0","0",-80.3127566,25.7883137
"0","0",-80.3117421,25.7883566
"0","0",-80.3103966,25.788413
"0","0",-80.309203,25.7884626
"0","0",-80.3087944,25.7884807
"0","0",-80.3073672,25.7885378
"0","0",-80.3068799,25.7885592
"0","0",-80.306792,25.7885632
"0","0",-80.3067279,25.78857
"0","0",-80.3066266,25.7885807
"0","0",-80.3064865,25.7885954
"0","0",-80.3063494,25.7886115
"0","0",-80.3061631,25.788633
"0","0",-80.3060871,25.7886424
"0","0",-80.3060275,25.7886585
"0","0",-80.3059858,25.7886759
"0","0",-80.3059426,25.7887081
"0","0",-80.3059158,25.7887497
"0","0",-80.3005059,25.7889134
"0","0",-80.3003688,25.7888906
"0","0",-80.3001587,25.7888772
"0","0",-80.2996223,25.7888611
"0","0",-80.2986701,25.7889
"0","0",-80.2976076,25.7889443
"0","0",-80.2966927,25.7889792
"0","0",-80.2959417,25.7890127
"0","0",-80.2955364,25.7890275
"0","0",-80.295146,25.7890476
"0","0",-80.2945961,25.7891254
"0","0",-80.2944158,25.7891496
"0","0",-80.2943577,25.7891616
"0","0",-80.294319,25.7891804
"0","0",-80.2943011,25.7892006
"0","0",-80.2942847,25.7892234
"0","0",-80.2942713,25.7892448
"0","0",-80.2942668,25.7892757
"0","0",-80.2942685,25.7893362
"0","0",-80.2921832,25.7894253
"0","0",-80.2921757,25.789369
"0","0",-80.2921623,25.7893314
"0","0",-80.292134,25.7892925
"0","0",-80.2920923,25.7892616
"0","0",-80.2920431,25.7892496
"0","0",-80.2919761,25.7892415
"0","0",-80.291912,25.7892388
"0","0",-80.2914471,25.789216
"0","0",-80.2912012,25.7892093
"0","0",-80.2908227,25.7892241
"0","0",-80.2892272814317,25.7903876685891
"0","0",-80.2892272814317,25.7908271544961
"0","0",-80.2893528488337,25.7915177752071
