shapeid,partid,x,y
"0","0",-87.8973153,42.9300148
"0","0",-87.8986148715951,42.9166028541988
"0","0",-87.9014144952782,42.9164951763649
"0","0",-87.8982139,42.9300089
"0","0",-87.8982109,42.930018
"0","0",-87.8981923,42.9301327
"0","0",-87.8981891,42.9301418
"0","0",-87.8981287,42.9304835
"0","0",-87.8982597,42.9304987
"0","0",-87.8985775,42.9305248
"0","0",-87.8995847,42.9306222
"0","0",-87.899945,42.930653
"0","0",-87.9001457,42.9306701
"0","0",-87.8996112,42.9357041
"0","0",-87.899534,42.935722
"0","0",-87.899458,42.9357443
"0","0",-87.8993834,42.9357711
"0","0",-87.8993548,42.9357846
"0","0",-87.8993274,42.9358005
"0","0",-87.8993014,42.9358185
"0","0",-87.899277,42.9358386
"0","0",-87.8992544,42.9358607
"0","0",-87.8992336,42.9358845
"0","0",-87.8992149,42.93591
"0","0",-87.8991984,42.935937
"0","0",-87.8991886,42.935956
"0","0",-87.8991798,42.9359755
"0","0",-87.8991721,42.9359955
"0","0",-87.8991628,42.9360256
"0","0",-87.8991561,42.9360563
"0","0",-87.8991519,42.9360875
"0","0",-87.8991503,42.9361189
"0","0",-87.8991513,42.9361503
"0","0",-87.8991549,42.9361816
"0","0",-87.8991363,42.9364739
"0","0",-87.8991214,42.9367664
"0","0",-87.89911,42.9370591
"0","0",-87.8991023,42.9373519
"0","0",-87.8990982,42.9376448
"0","0",-87.8990978,42.9379376
"0","0",-87.899055,42.9399507
"0","0",-87.8990621,42.9404789
"0","0",-87.8990443,42.9411428
"0","0",-87.8990516,42.9412058
"0","0",-87.8990602,42.9412686
"0","0",-87.8990702,42.9413312
"0","0",-87.8990816,42.9413936
"0","0",-87.8990944,42.9414557
"0","0",-87.8991085,42.9415175
"0","0",-87.8991334,42.9416177
"0","0",-87.8991576,42.941718
"0","0",-87.8991811,42.9418185
"0","0",-87.8991945,42.9418769
"0","0",-87.8992076,42.9419354
"0","0",-87.8992206,42.941994
"0","0",-87.8992211,42.9420046
"0","0",-87.8992223,42.9420151
"0","0",-87.8992242,42.9420255
"0","0",-87.8992267,42.9420358
"0","0",-87.89923,42.9420458
"0","0",-87.8992339,42.9420557
"0","0",-87.899239,42.9420663
"0","0",-87.8992449,42.9420766
"0","0",-87.8992516,42.9420863
"0","0",-87.8992604,42.9420973
"0","0",-87.8992702,42.9421075
"0","0",-87.8992809,42.9421168
"0","0",-87.8992923,42.9421251
"0","0",-87.8993045,42.9421324
"0","0",-87.8993172,42.9421385
"0","0",-87.8993304,42.9421435
"0","0",-87.8993408,42.9421467
"0","0",-87.8994078,42.9421638
"0","0",-87.8994707,42.9421743
"0","0",-87.8995343,42.9421797
"0","0",-87.899598,42.9421799
"0","0",-87.899605,42.9421796
"0","0",-87.8996121,42.9421792
"0","0",-87.8996191,42.9421788
"0","0",-87.8996261,42.9421783
"0","0",-87.8996331,42.9421778
"0","0",-87.8996401,42.9421772
"0","0",-87.8997082,42.9421683
"0","0",-87.899776,42.9421576
"0","0",-87.8998435,42.9421451
"0","0",-87.8998623,42.9421413
"0","0",-87.8998811,42.9421373
"0","0",-87.8998998,42.9421332
"0","0",-87.9003678,42.9420436
"0","0",-87.9003993,42.9420366
"0","0",-87.9005572,42.9420012
