shapeid,partid,x,y
"0","0",-93.2218618,44.8806671
"0","0",-93.2331514642739,44.872008079936
"0","0",-93.2336917622459,44.87173793095
"0","0",-93.2341461,44.8713531
"0","0",-93.2344971,44.8711295
"0","0",-93.2347391,44.8709753
"0","0",-93.2350119,44.8708015
"0","0",-93.2352286,44.8706634
"0","0",-93.2354346,44.8705322
"0","0",-93.2355277,44.8704598
"0","0",-93.235613,44.8703823
"0","0",-93.2357179,44.8702491
"0","0",-93.2357572,44.8701586
"0","0",-93.2357745,44.8700467
"0","0",-93.235766,44.869889
"0","0",-93.2356946,44.8696144
"0","0",-93.2354869,44.8688151
"0","0",-93.2352264,44.8678124
"0","0",-93.2348406,44.8663269
"0","0",-93.2356616,44.8662246
"0","0",-93.2362098,44.8661637
"0","0",-93.2312863978721,44.851763569143
"0","0",-93.2342690655693,44.8510699254925
"0","0",-93.2370599,44.8660979
"0","0",-93.2380249,44.8698018
"0","0",-93.2380951,44.8698887
"0","0",-93.2382383,44.8699203
"0","0",-93.2394356,44.8697714
"0","0",-93.2396997,44.8707994
"0","0",-93.2525118935777,44.8601566573142
"0","0",-93.254384731434,44.862584410091
"0","0",-93.2400555,44.8714629
"0","0",-93.2399415,44.8715497
"0","0",-93.23993,44.8716291
"0","0",-93.239984,44.8718716
"0","0",-93.2402189,44.8727517
"0","0",-93.2402941,44.8730449
"0","0",-93.2423889,44.8811051
"0","0",-93.2426385,44.882064
"0","0",-93.2427207,44.8823796
"0","0",-93.2427813,44.8826123
"0","0",-93.243014,44.883506
"0","0",-93.243098,44.8838288
"0","0",-93.2434593,44.8852163
"0","0",-93.2434935,44.8853467
"0","0",-93.2437591,44.8863579
"0","0",-93.2439519,44.8870918
"0","0",-93.2439753,44.887181
"0","0",-93.2440364,44.8874295
"0","0",-93.2440829,44.8876187
"0","0",-93.2434291,44.8877059
"0","0",-93.2431641,44.8877413
"0","0",-93.2428373,44.8877849
"0","0",-93.242709,44.8878021
"0","0",-93.2427458,44.8879794
"0","0",-93.242955,44.8887852
"0","0",-93.2455107803827,44.8892976150389
"0","0",-93.2548984576457,44.8900405247504
"0","0",-93.2518876142922,44.896642313331
"0","0",-93.2503059248839,44.8989554412879
"0","0",-93.2474482949289,44.902052733805
"0","0",-93.2446737203269,44.9023995556303
"0","0",-93.2413234711,44.8933498498287
"0","0",-93.23699,44.8894626
"0","0",-93.2366322,44.8893174
"0","0",-93.2359398,44.8901026
"0","0",-93.2336347,44.889097
"0","0",-93.2334595,44.8890359
"0","0",-93.233356,44.8890347
"0","0",-93.233305,44.8890442
"0","0",-93.233213,44.8890908
"0","0",-93.2327596,44.8896029
"0","0",-93.2294635,44.8881793
"0","0",-93.2289868,44.8879729
"0","0",-93.2288696,44.8879361
"0","0",-93.2287865,44.887921
"0","0",-93.2287025,44.8879124
"0","0",-93.228618,44.8879103
"0","0",-93.2284485,44.8879262
"0","0",-93.2275466,44.8880808
"0","0",-93.2275307,44.8881236
"0","0",-93.2275736,44.8882569
"0","0",-93.2276249,44.888308
"0","0",-93.2279017,44.8883014
"0","0",-93.2285807,44.8881854
"0","0",-93.2299748,44.8887966
"0","0",-93.2292255,44.8896504
"0","0",-93.2272607,44.8887995
"0","0",-93.2273023,44.8887471
"0","0",-93.227288,44.8887375
"0","0",-93.2272909,44.8884805
"0","0",-93.2272967,44.8883084
"0","0",-93.227457,44.8883092
"0","0",-93.2274446,44.8882552
"0","0",-93.227457,44.888226
"0","0",-93.2274332,44.8881451
"0","0",-93.2273927,44.888107
"0","0",-93.2272916,44.8881217
"0","0",-93.2245041,44.8869117
"0","0",-93.2243366,44.8871168
"0","0",-93.2244589,44.8871814
