shapeid,partid,x,y
"0","0",-122.5853679,45.578782
"0","0",-122.5854208,45.5787641
"0","0",-122.5855139,45.5787405
"0","0",-122.5856085,45.5787239
"0","0",-122.5856295,45.5787212
"0","0",-122.5856505,45.5787189
"0","0",-122.5856715,45.5787169
"0","0",-122.5856926,45.5787153
"0","0",-122.5857137,45.578714
"0","0",-122.5857348,45.5787131
"0","0",-122.5857518,45.5787126
"0","0",-122.5857689,45.5787124
"0","0",-122.5857859,45.5787123
"0","0",-122.5858029,45.5787125
"0","0",-122.5858199,45.578713
"0","0",-122.5858369,45.5787136
"0","0",-122.5858463,45.5787142
"0","0",-122.5858557,45.5787148
"0","0",-122.585865,45.5787156
"0","0",-122.5858744,45.5787164
"0","0",-122.5858837,45.5787173
"0","0",-122.5858931,45.5787183
"0","0",-122.5859624,45.5787274
"0","0",-122.5860313,45.5787394
"0","0",-122.5860996,45.5787543
"0","0",-122.5861672,45.578772
"0","0",-122.586234,45.5787925
"0","0",-122.5863,45.5788158
"0","0",-122.5865926,45.5789303
"0","0",-122.586599,45.578932
"0","0",-122.5866055,45.5789331
"0","0",-122.5866121,45.5789337
"0","0",-122.5866187,45.5789338
"0","0",-122.5866253,45.5789332
"0","0",-122.5866318,45.5789321
"0","0",-122.5879312,45.5794317
"0","0",-122.587933,45.5794376
"0","0",-122.5879357,45.5794431
"0","0",-122.5879393,45.579448
"0","0",-122.5879437,45.5794523
"0","0",-122.5879487,45.5794558
"0","0",-122.5879542,45.5794584
"0","0",-122.5881053,45.5795138
"0","0",-122.588113,45.5795168
"0","0",-122.5881208,45.5795199
"0","0",-122.5881285,45.5795229
"0","0",-122.5881362,45.579526
"0","0",-122.5881439,45.5795291
"0","0",-122.5881516,45.5795322
"0","0",-122.5888645,45.5798095
"0","0",-122.5893043,45.5799847
"0","0",-122.5895037,45.5800641
"0","0",-122.5896217,45.5801079
"0","0",-122.589633,45.5801109
"0","0",-122.5896445,45.5801137
"0","0",-122.589656,45.5801163
"0","0",-122.5896675,45.5801185
"0","0",-122.5896791,45.5801205
"0","0",-122.5896907,45.5801222
"0","0",-122.589713,45.5801256
"0","0",-122.5897351,45.58013
"0","0",-122.5897571,45.5801352
"0","0",-122.5897788,45.5801413
"0","0",-122.5898002,45.5801482
"0","0",-122.5898214,45.580156
"0","0",-122.5911729,45.5806842
"0","0",-122.5930979,45.5814373
"0","0",-122.5932849,45.5815251
"0","0",-122.5934034,45.5815807
"0","0",-122.5941985,45.5818896
"0","0",-122.599906892,45.5841346067188
"0","0",-122.5996936,45.5842875
"0","0",-122.5996569,45.5843113
"0","0",-122.59964,45.5843216
"0","0",-122.5996193,45.5843341
"0","0",-122.5995816,45.5843571
"0","0",-122.5995441,45.5843802
"0","0",-122.5995067,45.5844035
"0","0",-122.5994693,45.5844269
"0","0",-122.5994321,45.5844505
"0","0",-122.5994233,45.5844564
"0","0",-122.5994149,45.5844628
"0","0",-122.599407,45.5844698
"0","0",-122.5993994,45.5844772
"0","0",-122.5993923,45.584485
"0","0",-122.5993857,45.5844933
"0","0",-122.5993821,45.5844985
"0","0",-122.5993791,45.584504
"0","0",-122.5993765,45.5845097
"0","0",-122.5993745,45.5845157
"0","0",-122.599373,45.5845218
"0","0",-122.5993721,45.584528
"0","0",-122.5993718,45.5845343
"0","0",-122.599372,45.5845405
"0","0",-122.5993728,45.5845468
"0","0",-122.5993742,45.5845529
"0","0",-122.5993761,45.5845589
"0","0",-122.5993785,45.5845647
"0","0",-122.5994289,45.58467
"0","0",-122.5994571,45.5847289
"0","0",-122.5993179,45.5848895
"0","0",-122.5993162,45.5848947
"0","0",-122.599315,45.5849
"0","0",-122.5993142,45.5849054
"0","0",-122.599314,45.5849109
"0","0",-122.5993143,45.5849164
"0","0",-122.599315,45.5849218
"0","0",-122.5993162,45.5849271
"0","0",-122.599318,45.5849323
"0","0",-122.5993201,45.5849374
"0","0",-122.5993228,45.5849422
"0","0",-122.5993258,45.5849467
"0","0",-122.5993293,45.584951
"0","0",-122.5993331,45.5849549
"0","0",-122.5993372,45.5849585
"0","0",-122.5993464,45.5849644
"0","0",-122.600497067115,45.5854965492924
"0","0",-122.601072109535,45.5857689378071
"0","0",-122.602222194375,45.5861321224934
"0","0",-122.603160421481,45.5861926532745
"0","0",-122.60655014522,45.5861926532745
"0","0",-122.606822533735,45.5861623878839
"0","0",-122.6071904,45.5863997
"0","0",-122.6072018,45.5864126
"0","0",-122.6072142,45.5864246
"0","0",-122.6072276,45.5864355
"0","0",-122.6072418,45.5864452
"0","0",-122.6072567,45.5864538
"0","0",-122.6072958,45.5864718
"0","0",-122.6073364,45.5864861
"0","0",-122.6073781,45.5864965
"0","0",-122.6074206,45.5865029
"0","0",-122.6074636,45.5865054
"0","0",-122.6075066,45.5865038
"0","0",-122.6075537,45.5864999
"0","0",-122.6076009,45.5864961
"0","0",-122.6076481,45.5864925
"0","0",-122.6076953,45.586489
"0","0",-122.6077425,45.5864856
"0","0",-122.6077897,45.5864824
"0","0",-122.6078789,45.5864765
"0","0",-122.6079681,45.5864709
"0","0",-122.6080573,45.5864657
"0","0",-122.6081466,45.5864606
"0","0",-122.6082358,45.5864559
"0","0",-122.6083251,45.5864514
"0","0",-122.608352,45.5864497
"0","0",-122.6083787,45.586447
"0","0",-122.6084054,45.5864435
"0","0",-122.608432,45.5864391
"0","0",-122.6084583,45.5864338
"0","0",-122.6084845,45.5864276
"0","0",-122.6085132,45.5864195
"0","0",-122.6085413,45.5864096
"0","0",-122.6085688,45.586398
"0","0",-122.6085955,45.5863849
"0","0",-122.6086214,45.5863701
"0","0",-122.6086463,45.5863539
"0","0",-122.608655,45.5863473
"0","0",-122.6086631,45.58634
"0","0",-122.6086705,45.5863321
"0","0",-122.6086773,45.5863235
"0","0",-122.6086833,45.5863145
"0","0",-122.6086885,45.5863049
"0","0",-122.608693,45.586295
"0","0",-122.6086965,45.5862847
"0","0",-122.6086992,45.5862742
"0","0",-122.6087011,45.5862635
"0","0",-122.6087027,45.5862441
"0","0",-122.6087029,45.5862248
"0","0",-122.6087015,45.5862054
"0","0",-122.6086986,45.5861862
"0","0",-122.6086943,45.5861674
"0","0",-122.6086884,45.5861489
"0","0",-122.6086812,45.5861309
"0","0",-122.6086725,45.5861135
"0","0",-122.6086506,45.5860768
"0","0",-122.6086262,45.5860417
"0","0",-122.6085994,45.5860084
"0","0",-122.6085621,45.5859715
"0","0",-122.6085391,45.5859478
"0","0",-122.6085059,45.5859208
"0","0",-122.6084736,45.5858959
"0","0",-122.6084419,45.5858703
"0","0",-122.6084107,45.585844
"0","0",-122.6152865,45.5810453
"0","0",-122.6152831,45.5810504
"0","0",-122.6152802,45.5810558
"0","0",-122.6152777,45.5810615
"0","0",-122.6152759,45.5810673
"0","0",-122.6152745,45.5810733
"0","0",-122.6152738,45.5810794
"0","0",-122.6152736,45.5810856
"0","0",-122.615274,45.5810917
"0","0",-122.6152749,45.5810978
"0","0",-122.6152764,45.5811038
"0","0",-122.6152785,45.5811095
"0","0",-122.6152853,45.5811249
"0","0",-122.6152929,45.5811399
"0","0",-122.6153013,45.5811545
"0","0",-122.6153104,45.5811686
"0","0",-122.6153203,45.5811822
