Lat,Lon
40.477197,-80.211149
40.477181,-80.211175
40.477107,-80.21128
40.476942,-80.211492
40.476824,-80.211656
40.476696,-80.21182
40.476567,-80.211991
40.476446,-80.212144
40.476271,-80.21235
40.476175,-80.212468
40.476142,-80.212519
40.476111,-80.212576
40.476093,-80.212621
40.476085,-80.212673
40.476089,-80.212731
40.476097,-80.212786
40.476118,-80.212859
40.476146,-80.212927
40.47618,-80.212997
40.476202,-80.213047
40.476248,-80.213159
40.476278,-80.213227
40.4763,-80.21329
40.47633,-80.213373
40.476355,-80.213439
40.476381,-80.213513
40.476405,-80.213577
40.476445,-80.213653
40.476504,-80.213738
40.476546,-80.213797
40.476595,-80.213863
40.476647,-80.21393
40.4767,-80.213987
40.476758,-80.214046
40.476818,-80.214108
40.476873,-80.214165
40.476936,-80.214228
40.476987,-80.214292
40.477016,-80.214359
40.477023,-80.214416
40.477019,-80.214464
40.477006,-80.214523
40.476988,-80.214568
40.477036,-80.214677
40.477353,-80.215361
40.4774013,-80.2154613
40.477533,-80.215735
40.477685,-80.216033
40.4778091,-80.2162949
40.4778706,-80.2164515
40.4779182,-80.2166141
40.477934,-80.216701
40.477942,-80.2167549
40.4779459,-80.2168818
40.4779539,-80.216965
40.477939,-80.217631
40.477914,-80.218393
40.477898,-80.21864
40.47788,-80.21876
40.477843,-80.218935
40.477795,-80.219107
40.4777734,-80.2191664
40.47774,-80.219258
40.4776773,-80.2194173
40.4777335,-80.2194577
40.4778315,-80.2194587
40.4779652,-80.2195322
40.4780866,-80.2195974
40.4782171,-80.2196676
40.4783032,-80.2197048
40.4783826,-80.2197391
40.4784915,-80.2197822
40.4785931,-80.2198123
40.4786721,-80.2198293
40.4787416,-80.2198819
40.4788412,-80.2198838
40.4789484,-80.2198706
40.4790198,-80.2198593
40.4791063,-80.2198424
40.4792262,-80.219829
40.479432,-80.219806
40.479554,-80.219786
40.479647,-80.219767
40.479723,-80.219749
40.479803,-80.219727
40.479882,-80.219703
40.479953,-80.219674
40.480021,-80.219645
40.480081,-80.219618
40.480145,-80.219583
40.480212,-80.219539
40.480298,-80.219479
40.4804,-80.219401
40.480516,-80.219307
40.4805864,-80.2192434
40.4808859,-80.2195251
40.4812303,-80.2194834
40.482287,-80.218685
40.482386,-80.218627
40.482559,-80.218504
40.482694,-80.218419
40.482856,-80.21834
40.4829116,-80.2183163
40.483037,-80.218263
40.483154,-80.218231
40.483506,-80.218158
40.4836412,-80.2181217
40.483726,-80.218099
40.483871,-80.218051
40.483983,-80.218
40.484065,-80.217949
40.484128,-80.217896
40.484173,-80.217841
40.484204,-80.217783
40.484224,-80.217718
40.484238,-80.217629
40.4842432,-80.2175207
40.4843268,-80.2174305
40.4845462,-80.2170734
40.4848278,-80.2166442
40.4846399,-80.2164563
40.484539,-80.216512
40.4844962,-80.2154968
40.4847205,-80.2154698
40.4847528,-80.2154659
40.4847819,-80.2155401
40.4848125,-80.2156136
40.4848446,-80.2156864
40.4848635,-80.2157274
40.4848829,-80.2157681
40.4849027,-80.2158086
40.4849105,-80.215824
40.4849183,-80.2158394
40.4849261,-80.2158548
40.4849341,-80.2158701
40.4849421,-80.2158854
40.4849502,-80.2159007
40.4849634,-80.2159263
40.4850205,-80.2160406
40.4850455,-80.2161119
40.4850598,-80.2161869
40.4850776,-80.2162868
40.4850848,-80.216426
40.4850955,-80.2167291
40.48513,-80.2176895
40.4851339,-80.2178462
40.485115,-80.218164
40.4851318,-80.218721
40.4851359,-80.2188586
40.4848009,-80.2190295
40.4840312,-80.219422
40.4840016,-80.2194391
40.4839727,-80.2194573
40.4839446,-80.2194768
40.4839271,-80.2194898
40.4839099,-80.2195032
40.4838964,-80.2195144
40.4836823,-80.2197032
40.4835345,-80.2199665
40.4835216,-80.2199896
40.4835162,-80.2200034
40.4835119,-80.2200175
40.4835085,-80.2200319
40.4835066,-80.2200434
40.4835054,-80.220055
40.4835048,-80.2200666
40.4835047,-80.2200729
40.4835048,-80.2204258
40.4835054,-80.2204404
40.4835074,-80.220455
40.4835105,-80.2204693
40.4835149,-80.2204833
40.4835205,-80.2204968
40.4835272,-80.2205099
40.483535,-80.2205223
40.4835438,-80.220534
40.4835537,-80.2205448
40.4835644,-80.2205548
40.4835759,-80.2205639
40.4835882,-80.2205719
40.4836944,-80.2206445
40.4837321,-80.2206702
40.4837697,-80.2206958
40.4838074,-80.2207216
40.483845,-80.2207473
40.4838825,-80.2207732
40.4839201,-80.220799
40.483948,-80.2208184
40.483976,-80.2208377
40.4840039,-80.2208571
40.4840406,-80.2208826
40.4840772,-80.2209082
40.4841138,-80.2209337
40.4844574,-80.2211669
40.484469,-80.2211736
40.4844806,-80.2211802
40.4844923,-80.2211868
40.4845041,-80.2211932
40.4845159,-80.2211996
40.4845277,-80.221206
40.484552,-80.2212164
40.4845768,-80.2212256
40.4846021,-80.2212335
40.4846259,-80.2212398
40.48465,-80.2212449
40.4846743,-80.2212489
40.4846886,-80.2212506
40.4847028,-80.221252
40.4847171,-80.221253
40.4847315,-80.2212537
40.4847458,-80.2212539
40.4847601,-80.2212537
40.4849831,-80.2212663
40.4852088,-80.2212791
40.48528,-80.223645
40.4852979,-80.2243419
40.485301,-80.2244619
40.4853309,-80.22563
40.4853372,-80.2258759
40.4853408,-80.226014
40.485288,-80.226023
40.485259,-80.226041
40.484828,-80.226546
40.4848197,-80.2268402
40.4848358,-80.2274331
40.4850541,-80.2275051
40.4846749,-80.2294779
40.484761,-80.2295063
40.4848932,-80.2295499
40.4849029,-80.2299071
40.4849243,-80.2309422
40.4849743,-80.2310457
40.4849712,-80.2317238
40.4849662,-80.2318789
40.4849618,-80.232013
40.485035,-80.2346006
40.4851527,-80.2392405
40.4852132,-80.2415102
40.4856524,-80.2418782
40.4856571,-80.2421615
40.4856623,-80.2424842
40.485833,-80.242578
40.4858639,-80.2438168
40.4856413,-80.243925
40.4856333,-80.2439289
40.4855817,-80.2439555
40.4855307,-80.2439833
40.4854926,-80.2440052
40.4854548,-80.2440278
40.4854174,-80.244051
40.4854115,-80.2440548
40.4854056,-80.2440586
40.4853997,-80.2440624
40.4853938,-80.2440662
40.4853879,-80.2440701
40.485382,-80.2440739
40.4853,-80.244127
40.4853666,-80.2467016
40.4853682,-80.2467247
40.4853719,-80.2467476
40.4853777,-80.24677
40.4853856,-80.2467918
40.4853955,-80.2468128
40.4854073,-80.2468327
40.4854209,-80.2468515
40.4854362,-80.2468689
40.4854531,-80.2468848
40.4854713,-80.2468991
40.4855791,-80.2469614
40.4855973,-80.2469736
40.4856144,-80.2469874
40.4856301,-80.2470027
40.4856444,-80.2470194
40.4856561,-80.2470359
40.4856664,-80.2470534
40.4856752,-80.2470717
40.4856786,-80.2470799
40.4856817,-80.2470884
40.4856844,-80.2470969
40.4856919,-80.2471251
40.4856964,-80.2471512
40.4856987,-80.2471776
40.4856987,-80.247204
40.4856983,-80.2472105
40.4856907,-80.2473717
40.4856902,-80.2473895
40.485678,-80.2478899
40.4857058,-80.2479435
40.4857392,-80.2485317
40.4857409,-80.2485619
40.485743,-80.2486073
40.4857447,-80.2486526
40.4857454,-80.2486649
40.4857458,-80.2486772
40.4857458,-80.2486895
40.4857453,-80.2487073
40.4857442,-80.2487252
40.4857423,-80.248743
40.4857406,-80.2487557
40.4857386,-80.2487685
40.4857362,-80.2487811
40.4857344,-80.2487896
40.4857324,-80.248798
40.4857303,-80.2488064
40.4857281,-80.2488147
40.4857257,-80.248823
40.4857231,-80.2488313
40.4857211,-80.2488378
40.485717,-80.2488507
40.4857125,-80.2488635
40.4857079,-80.2488762
40.4857033,-80.2488863
40.4856989,-80.2488965
40.4856947,-80.2489068
40.4856871,-80.2489263
40.4856801,-80.2489461
40.4856736,-80.248966
40.4856648,-80.2489968
40.4856574,-80.249028
40.4856513,-80.2490595
40.4856454,-80.249104
40.4856417,-80.2491488
40.4856401,-80.2491937
40.4856431,-80.2492767
40.4856535,-80.2493592
40.4856712,-80.2494403
40.4856813,-80.2494825
40.48569,-80.249525
40.485693,-80.2495417
40.485491,-80.249671
40.485532,-80.249796
40.485599,-80.25
40.485678,-80.2502
40.4855107,-80.2504426
40.4855262,-80.2512408
40.485632,-80.251624
40.485619,-80.251936
40.485625,-80.252206
40.485709,-80.252427
40.4855428,-80.2527059
40.4855381,-80.2528014
40.4855259,-80.2529577
40.4855092,-80.2531136
40.485488,-80.2532689
40.4854643,-80.2534156
40.4854408,-80.2535623
40.4854173,-80.253709
40.4853974,-80.2538342
40.4853775,-80.2539595
40.4853578,-80.2540848
40.4853562,-80.2540955
40.4853546,-80.2541063
40.4853529,-80.254117
40.4853512,-80.2541278
40.4853494,-80.2541385
40.4853476,-80.2541493
40.485343,-80.2541751
40.4853381,-80.254201
40.4853329,-80.2542267
40.4853225,-80.2542736
40.4853112,-80.2543203
40.4852989,-80.2543668
40.4852943,-80.2543817
40.4852896,-80.2543965
40.4852848,-80.2544114
40.48528,-80.2544262
40.4852751,-80.254441
40.4852702,-80.2544558
40.4852673,-80.2544645
40.4852644,-80.2544732
40.4852615,-80.2544818
40.4852585,-80.2544905
40.4852555,-80.2544991
40.4852525,-80.2545078
40.4852441,-80.2545317
40.4852354,-80.2545556
40.4852267,-80.2545794
40.4852132,-80.254615
40.4851993,-80.2546504
40.4851851,-80.2546856
40.4851808,-80.2546961
40.4851604,-80.2547496
40.4851545,-80.2547674
40.485024,-80.2551664
40.4850956,-80.2551238
40.4850869,-80.255356
40.4850803,-80.2554859
40.4850936,-80.2558265
40.4851252,-80.256654
40.4851344,-80.2567144
40.4851477,-80.2567613
40.4851772,-80.2568149
40.485224,-80.256854
40.4853741,-80.2569048
40.4854894,-80.2569249
40.4857148,-80.2569517
40.4858423,-80.2569651
40.4859953,-80.2569839
40.486134,-80.2570148
40.4862003,-80.2570309
40.4862564,-80.2570523
40.4863217,-80.2570765
40.4864441,-80.2571395
40.4864807,-80.2568415
40.4878874,-80.256755
40.4882231,-80.2567348
40.488397,-80.2567212
40.4882685,-80.2562286
40.4881718,-80.2541264
40.4881653,-80.2540371
40.4880771,-80.2537653
40.4882782,-80.2536334
40.4885005,-80.2534482
40.4885326,-80.2535874
40.4895328,-80.2528677
40.4897352,-80.2527221
40.489823,-80.253123
40.490015,-80.253466
40.4898113,-80.2536008
40.4898219,-80.2536281
40.4898412,-80.2536764
40.4898611,-80.2537245
40.4898816,-80.2537724
40.4898883,-80.2537872
40.4898951,-80.2538021
40.489902,-80.2538169
40.4899089,-80.2538317
40.4899159,-80.2538465
40.4899229,-80.2538612
40.489937,-80.2538901
40.4899514,-80.2539189
40.4899661,-80.2539476
40.4899811,-80.2539761
40.4899963,-80.2540045
40.4900117,-80.2540327
40.4900336,-80.2540678
40.4900564,-80.2541023
40.4900802,-80.2541362
40.4901049,-80.2541694
40.4901305,-80.2542019
40.490157,-80.2542337
40.4902524,-80.2543349
40.4903568,-80.2544269
40.4904693,-80.2545087
40.490589,-80.2545797
40.4907147,-80.2546392
40.4908455,-80.2546867
40.4909301,-80.2547068
40.4910158,-80.2547221
40.4911022,-80.2547323
40.4911891,-80.2547376
40.4912761,-80.2547379
40.491363,-80.2547331
40.4915012,-80.2547212
40.4916397,-80.2547127
40.4917784,-80.2547074
40.4919172,-80.2547055
40.4920559,-80.254707
