Lat,Lon
32.7276123,-117.1801463
32.7276123,-117.1802653
32.7276123,-117.180397
32.7276123,-117.1805192
32.7276218,-117.1806684
32.7276329,-117.1808398
32.727652,-117.181005
32.7276773,-117.1811684
32.727689,-117.1812252
32.7277075,-117.1813144
32.7277265,-117.181407
32.7277678,-117.1815811
32.7278059,-117.1817192
32.7278694,-117.1819144
32.7279005,-117.1820132
32.728102,-117.182593
32.7281696,-117.1827907
32.728493,-117.183737
32.7285873,-117.1840503
32.7286674,-117.1843163
32.7287339,-117.1845403
32.7288098,-117.1848327
32.7288449,-117.1849771
32.7288801,-117.1851474
32.7289079,-117.1852992
32.7289264,-117.1853917
32.7289505,-117.1855694
32.7289554,-117.1856356
32.7289634,-117.1856879
32.7289782,-117.1858286
32.7289856,-117.1859285
32.7290071,-117.1862697
32.729021,-117.1864891
32.7290614,-117.1872322
32.729071,-117.1874097
32.7290878,-117.1877656
32.7290971,-117.1879342
32.7291379,-117.1885881
32.7291526,-117.1887324
32.7291842,-117.189042
32.729199,-117.1893466
32.7292156,-117.1896902
32.7292242,-117.1898653
32.7292377,-117.1901174
32.7292907,-117.191091
32.7293079,-117.191485
32.7293089,-117.1916459
32.7293097,-117.1917758
32.7293079,-117.1919277
32.7293482,-117.1926237
32.7293587,-117.1927772
32.7294019,-117.1936318
32.7294109,-117.1938109
32.7294274,-117.1941104
32.7294331,-117.1942172
32.7294374,-117.1943019
32.7294738,-117.1950677
32.7294795,-117.1952074
32.7294851,-117.1953768
32.7294937,-117.1957062
32.7294932,-117.195763
32.7294901,-117.1962053
32.7294899,-117.1962283
32.7294917,-117.1964709
32.7294862,-117.1967617
32.7294593,-117.1976922
32.7294593,-117.1979763
32.7294612,-117.1983203
32.7294597,-117.1984241
32.7294573,-117.1985966
32.7294573,-117.1987783
32.729455,-117.198884
32.729456,-117.199048
32.729456,-117.199279
32.729458,-117.200015
32.729457,-117.201842
32.729456,-117.20203
32.7294478,-117.2030302
32.7294439,-117.2031275
32.729449,-117.2035651
32.7294513,-117.2037578
32.7294555,-117.2039017
32.7294555,-117.2039159
32.7294557,-117.2040235
32.7294562,-117.2041171
32.7294591,-117.2041623
32.729457,-117.2043951
32.7294587,-117.2045471
32.7294585,-117.2046696
32.7294585,-117.204824
32.7294586,-117.20488
32.7294382,-117.2054179
32.7293662,-117.206245
32.7293057,-117.2068571
32.7292865,-117.2070457
32.7292513,-117.2073945
32.7292481,-117.2074311
32.7291888,-117.2081006
32.7291542,-117.2084909
32.7291159,-117.2088993
32.7293996,-117.2089254
32.7294407,-117.2089264
32.729558,-117.2089293
32.7297092,-117.2089299
32.7299185,-117.2089104
32.7300849,-117.2088903
32.7302496,-117.2088628
32.7303663,-117.2088454
32.7307883,-117.2087823
32.7309779,-117.2087461
32.73196,-117.20858
32.7324606,-117.2085116
32.7326143,-117.2084906
32.7327651,-117.20847
32.7328427,-117.2084594
32.7336642,-117.2083471
32.7340486,-117.2082946
32.7342648,-117.2082634
32.7342815,-117.2082614
32.7342919,-117.2082654
32.7344025,-117.2081432
32.7348594,-117.2080734
32.7350049,-117.2080533
32.7350102,-117.207942
32.7350669,-117.2077816
32.7351754,-117.2076448
32.7351848,-117.2076361
32.7353688,-117.2074655
32.7357603,-117.2070739
32.7364727,-117.2064323
32.7365623,-117.2063616
32.7366378,-117.2063191
32.7368076,-117.2062484
32.7369775,-117.2062059
32.7371143,-117.2061493
32.737315,-117.20606
32.737433,-117.206006
32.737628,-117.205942
32.737895,-117.205889
32.738239,-117.205872
32.7382536,-117.2057644
32.7382514,-117.2056758
32.7382107,-117.2052145
32.7381792,-117.205008
32.738149,-117.20488
32.738136,-117.204801
32.737948,-117.204015
32.7378553,-117.2035949
32.737848,-117.203562
32.737748,-117.203125
32.737614,-117.202569
32.737593,-117.202491
32.737579,-117.202404
32.737579,-117.202381
32.737599,-117.202178
32.7376307,-117.2019465
32.737666,-117.201689
32.737662,-117.20157
32.736697,-117.19759
32.73657,-117.197042
32.736526,-117.196923
32.73646,-117.196827
32.736109,-117.196371
32.736059,-117.196255
32.735912,-117.195569
32.735601,-117.194318
32.734913,-117.191442
32.73491,-117.1914
32.734917,-117.191347
32.734958,-117.191271
32.7350312,-117.1912221
32.7351936,-117.1911363
32.7352726,-117.1910907
32.7353538,-117.1910102
32.7354666,-117.1908761
32.7355275,-117.1907876
32.735602,-117.1907098
32.7358727,-117.1905033
32.7360013,-117.1904201
32.7361841,-117.1903209
32.7363307,-117.1902619
32.7364729,-117.1902082
32.7366083,-117.190168
32.7367098,-117.190117
32.7368767,-117.1900366
32.7370121,-117.1899481
32.7371114,-117.1899052
32.73736,-117.189816
32.737418,-117.189795
32.737513,-117.1897201
32.7376123,-117.1896047
32.7376912,-117.1895216
32.7377995,-117.1894331
32.7380815,-117.1892185
32.7387403,-117.1888081
32.7388328,-117.1887357
32.7389253,-117.1886579
32.738993,-117.1885721
32.7390697,-117.1884621
32.7391397,-117.18832
32.739187,-117.1881912
32.739238,-117.187797
32.739236,-117.187768
32.739233,-117.187732
32.7392437,-117.1876695
32.7392721,-117.1875557
32.7392113,-117.1874389
32.7391886,-117.1873357
32.7391661,-117.1872579
32.7391199,-117.1871406
32.7390996,-117.1870722
32.7390951,-117.1870078
32.7390928,-117.1869501
32.7390961,-117.1868529
32.7390984,-117.1867242
32.7390928,-117.1866806
32.7390758,-117.1866276
32.7390294,-117.1865492
32.7389897,-117.1865069
32.7389299,-117.1864439
32.738831,-117.186316
32.73879,-117.1862347
32.7387494,-117.1860711
32.7387471,-117.1859718
32.7387652,-117.1858967
32.7388035,-117.1858216
32.738844,-117.185742
